"id","title","authors","year","venue","search_strings","doi","abstract","keywords","citations"
"11","A Web-Based E-Learning Approach to Malware Incidents Based on the ENISA Cyber Exercise","J. Lumbantoruan; S. Cahyono; S. U. Sunaringtyas; D. F. Priambodo; M. R. D. Pangaribuan","2025","2025 IEEE 2nd International Conference on Cryptography, Informatics, and Cybersecurity (ICoCICs)","S3","10.1109/ICoCICs68032.2025.11383983","The increasing number of malware incidents in Indonesia, as reported by the 2024 National Cyber and Crypto Agency, underscores the urgent need to enhance human resource capacity in cyber incident response and digital forensics. This study introduces Sanapati Cyberstorm, a scenario-based e-learning platform developed to strengthen malware analysis and incident handling competencies. The platform adopts the Cyber Exercise Cycle framework recommended by ENISA, integrating theoretical learning modules, interactive case-based simulations, and a virtual laboratory implemented through a Windows 10-based Open Virtual Appliance (OVA). The research applies a One-Group Pretest-Posttest design to evaluate participants' knowledge improvement, complemented by a User Acceptance Test (UAT) for usability and satisfaction assessment. The evaluation results demonstrate a significant increase in participants' understanding, supported by an average System Usability Scale (SUS) score of 78.2, which falls under the “good” usability category. The findings confirm that Sanapati Cyberstorm provides an effective, scalable, and adaptive approach to cybersecurity education, aligning academic learning outcomes with real-world cyber defense practices in higher education environments.","Malware Analysis;ENISA;Cyber Exercise;e-learning",""
"12","AI driven Test Scenario Generator","A. Chatterjee","2025","2025 5th International Conference on Information Communication and Software Engineering (ICICSE)","S1+S3","10.1109/ICICSE66971.2025.11430054","Modern microservice ecosystems expose rapidly evolving REST APIs and complex interaction patterns that make manual Behavior-Driven Development (BDD) scenario authoring slow and difficult to scale. While Cucumber provides a clear, shared language for specifying behavior, writing and maintaining scenarios and step definitions by hand remains a major bottleneck. This paper presents an AI-driven framework that transforms machine-readable API contracts into executable BDD artifacts. This framework ingests Swagger/OpenAPI specifications, parses endpoints, schemas, and constraints, and applies user-defined rules encoding domain policies, compliance requirements, and negative-path priorities. A synthesis engine then generates standardized scenarios, deduplicates overlapping cases, and ensures consistent phrasing for traceability and reuse. A human-in-the-loop review further enriches test data, tunes edge cases, and finalizes assertions, focusing expert input where it adds the most value.Compared to manual approaches, this framework (i) produces readable, executable BDD scenarios directly from contracts, (ii) integrates rule-driven guidance with specification grounding to target domain-critical paths, and (iii) fits seamlessly into existing Cucumber/JUnit pipelines. Evaluation across internal services shows notable reductions in authoring time, improved negative-path coverage, and stronger alignment between specifications and test suites, enabling scalable, maintainable automation for continuous delivery environments.","BDD Testing;API Testing;Cucumber;Swagger/OpenAPI;AI-driven Test Automation;Test Scenario Generation;Microservice testing",""
"13","Acceptance Test Generation with Large Language Models: An Industrial Case Study","M. Ferreira; L. Viegas; J. P. Faria; B. Lima","2025","2025 IEEE/ACM International Conference on Automation of Software Test (AST)","S2+S3","10.1109/AST66626.2025.00007","Large language model (LLM)-powered assistants are increasingly used for generating program code and unit tests, but their application in acceptance testing remains underexplored. To help address this gap, this paper explores the use of LLMs for generating executable acceptance tests for web applications through a two-step process: (i) generating acceptance test scenarios in natural language (in Gherkin) from user stories, and (ii) converting these scenarios into executable test scripts (in Cypress), knowing the HTML code of the pages under test. This two-step approach supports acceptance test-driven development, enhances tester control, and improves test quality. The two steps were implemented in the AutoUAT and Test Flow tools, respectively, powered by GPT-4 Turbo, and integrated into a partner company’s workflow and evaluated on real-world projects. The users found the acceptance test scenarios generated by AutoUAT helpful 95% of the time, even revealing previously overlooked cases. Regarding Test Flow, 92% of the acceptance test cases generated by Test Flow were considered helpful: 60% were usable as generated, 8% required minor fixes, and 24% needed to be regenerated with additional inputs; the remaining 8% were discarded due to major issues. These results suggest that LLMs can, in fact, help improve the acceptance test process, with appropriate tooling and supervision.","Acceptance Testing;Large Language Models;Automatic Test Generation;Web Application Testing","2.0"
"14","Assessing the Quality of Behavior-Driven Development Scenarios Using BERT","N. Alinezhadtilaki; C. Evans","2025","2025 IEEE 4th International Conference on Computing and Machine Intelligence (ICMI)","S3","10.1109/ICMI65310.2025.11141197","This research investigates the application of BERT (Bidirectional Encoder Representations from Transformers), a state-of-the-art Machine Learning (ML) model for Natural Language Processing (NLP), to improve the quality assessment of Behavior-Driven Development (BDD) scenarios. BDD is a widely used technique in Agile software development, which clarifies feature behavior by defining test scenarios for user stories. While user stories are effective for outlining software requirements, they often lack detailed validation criteria, and the manual evaluation of BDD scenarios can be time-consuming and subjective, leading to inconsistencies, rework, and project delays. To address these challenges, this study explores how BERT can enhance scenario evaluation by leveraging its advanced language understanding capabilities to detect ambiguities and inconsistencies more accurately than traditional methods. Precision, which measures the accuracy of the model's correct predictions, was 70.1 %, indicating how often the model's identified defects were truly defects. Recall, the measure of how many relevant defects the model successfully identified, reached 80.5 %. The F1 score, a balance between precision and recall, was 75.3 %, demonstrating BERT's effectiveness in handling imbalanced data. These results suggest that BERT significantly improves both the objectivity and efficiency of BDD scenario evaluation, offering a valuable tool for enhancing software development processes. This research contributes to the integration of NLP in Agile software development, providing a foundation for future exploration of AI-driven solutions for improving software quality and requirement documentation.","Natural Language Processing;Behavior Driven Development;Machine Learning;Agile;Software Quality;AI Solutions",""
"15","Automated Advanced Analysis in Lightning Impulse Tests for Power and Instrument Transformers","W. Bassi","2025","2025 International Symposium on Lightning Protection (XVIII SIPDA)","S3","10.1109/SIPDA68639.2025.11296765","Impulse tests play an essential role in assessing the insulation of power transformers. These tests provide valuable insights into the dielectric behavior of transformers under high-voltage stress conditions. This study focuses on the comparative analysis of impulse test records obtained from different power and instrument transformers, specifically examining variations in voltage and current waveforms using time and frequency-domain methodologies. The study employs advanced signal processing techniques—like Fast Fourier Transform (FFT), wavelet decomposition, and coherence analysis—to detect potential discrepancies. A detailed analysis of case studies is presented, applying numerical metrics to quantify significant and non-significant differences in test results, enhancing diagnostic precision and minimizing subjectivity in waveform evaluation. Furthermore, the software output results are compared with visual observations, demonstrating that it is possible to achieve the same decision-making outcomes based on visual inspections as the international standards currently demand. The findings emphasize the need for objective, quantifiable assessment criteria in test approval procedures, reducing the reliance on subjective expert evaluations and promoting a more standardized methodology for transformer diagnostics. Additionally, numerical methods, metrics, and statistical parameters are foundational for future advancements in machine learning and artificial intelligence applications, enabling more sophisticated and automated diagnostic solutions.","impulse test;power transformer;instrument transformer;acceptance test;software;machine learning;artificial intelligence significant differences;automated analysis;expert system",""
"16","Automated Behaviour-Driven Acceptance Testing of Robotic Systems","M. Nguyen; S. Wrede; N. Hochgeschwender","2025","2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","S1+S3","10.1109/IROS60139.2025.11246121","The specification and validation of robotics applications require bridging the gap between formulating requirements and systematic testing. This often involves manual and error-prone tasks that become more complex as requirements, design, and implementation evolve. To address this challenge systematically, we propose extending behaviour-driven development (BDD) to define and verify acceptance criteria for robotic systems. In this context, we use domain-specific modelling and represent composable BDD models as knowledge graphs for robust querying and manipulation, facilitating the generation of executable testing models. A domain-specific language helps to efficiently specify robotic acceptance criteria. We explore the potential for automated generation and execution of acceptance tests through a software architecture that integrates a BDD framework, Isaac Sim, and model transformations, focusing on acceptance criteria for pick-and-place applications. We tested this architecture with an existing pick-and-place implementation and evaluated the execution results, which shows how this application behaves and fails differently when tested against variations of the agent and environment. This research advances the rigorous and automated evaluation of robotic systems, contributing to their reliability and trustworthiness.","",""
"17","Automating Physics-Based Reasoning for SysML Model Validation","C. Chambers; S. Mueller; P. Ganeriwala; C. Sen; S. Bhattacharyya","2025","2025 IEEE International systems Conference (SysCon)","S1","10.1109/SysCon64521.2025.11014788","System and software design benefits greatly from formal modeling, allowing for automated analysis and verification early in the design phase. Current methods excel at checking information flow and component interactions, ensuring consistency, and identifying dependencies within Systems Modeling Language (SysML) models. However, these approaches often lack the capability to perform physics-based reasoning about a system's behavior represented in SysML models, particularly in the electromechanical domain. This significant gap critically hinders the ability to automatically and effectively verify the correctness and consistency of the model's behavior against well-established underlying physical principles. Therefore, this paper presents an approach that leverages existing research on function representation, including formal languages, graphical representations, and reasoning algorithms, and integrates them with physics-based verification techniques. Four case studies (coffeemaker, vacuum cleaner, hairdryer, and wired speaker) are inspected to illustrate the model's practicality and effectiveness in performing physics-based reasoning on systems modeled in SysML. This automated physics-based reasoning is broken into two main categories: (i) structural, which is performed on BDD and IBD, and (ii) functional, which is then performed on activity diagrams. This work advances the field of automated reasoning by providing a framework for verifying structural and functional correctness and consistency with physical laws within SysML models.","Formal representation and reasoning;Function-based Design;Model-Based Systems Engineering",""
"18","Backend Development for a Mobile Flood Information Dissemination System User Module in Citeureup Village Using Iterative Incremental Method","M. J. G. Putra; A. A. N. Fajrillah; F. A. Anshary","2025","2025 10th International Conference on Information Technology and Digital Application (ICITDA)","S3","10.1109/ICITDA68167.2025.11332304","Indonesia is recognized as one of the most disaster-prone countries globally, with floods being among the most frequent and impactful natural hazards affecting numerous regions. Citeureup Village in Dayeuhkolot District is one of the significantly flood-vulnerable areas in Bandung Regency, where residents currently rely on informal communication channels that often prove inadequate for timely flood information dissemination. This study aims to develop a backend system for a mobile flood information application tailored to the needs of the local community. An incremental iterative method was used, consisting of five stages: planning, design, implementation, testing, and evaluation, which were carried out in two development cycles. The system was evaluated using three testing approaches, namely Unit testing, Load testing, and User acceptance testing with three participants aged 21-50 years showing a high level of satisfaction of 93.3% for the first iteration features, 85% for the second iteration features, and $\mathbf{8 8. 6 \%}$ overall. The test results confirmed that the developed backend system effectively meets user requirements and is ready to be implemented in Citeureup Village.","Flood Information;Backend Development;Iterative Incremental;Unit;Load;User Acceptance;Test",""
"19","Calibration Method for Mixed-mode Return Loss Parameters of Network Cable Analyzer","L. Yu; J. Gao; J. Xia","2025","2025 2nd Asia Pacific Conference on Computing Technologies, Communications and Networking (CTCNet)","S3","10.1109/CTCNet68009.2025.11405754","The network cable analyzer is mainly used for the certification testing of network cables in commercial buildings. It can generate test reports on the scattering parameters of network cables within the specified frequency range in just a few seconds. Currently, the national measurement technical specification only clarifies the measurement methods and corresponding measurement equipment for the scattering parameters in the differential mode. For the scattering parameters in the common mode and mixed mode, no technical requirements or measurement methods have been provided. However, most commercial network cable analyzers on the market can provide measurement results for different modes. The design, production, installation and acceptance test standards for twisted-pair cables used in the structured cabling system also include parameter indicators for different modes. Therefore, it is necessary to test the scattering parameters of network cable analyzers under different modes to ensure their performance. Based on the above situation, this paper analyzes the measurement method of the return loss parameters of network cable analyzers in the mixed network mode, as well as the measurement equipment and devices used, and provides uncertainty assessment content for some measurement results, providing a reference for subsequent related measurement activities.","network cable analyzer;return loss;balance;mode conversion;common mode component",""
"20","Cebesla Application: Solution-Focused Counseling Platform Based on Pancasila Values for Students' Cultural Intelligence","M. Ramli; N. M. A. Saputra; N. Hidayah; N. Eva; N. H. Afandi; A. E. Arianti","2025","2025 11th International Conference on Education and Technology (ICET)","S3","10.1109/ICET67257.2025.11290786","This research was conducted to develop a counseling model that can answer racial issues high school students face when using social media through increasing cultural intelligence. The development was carried out through the ADDIE development design. Based on the results of the needs analysis, it was concluded that the model was developed using website media in the form of short videos. The model is implemented through four main stages, namely: (1) Phase I Filling in the description of the initial condition of students; (2) Phase II Scheduling counseling; (3) Phase III Implementation of counseling; and (4) Phase IV reflection and self-description of post-counseling counselees. The results of the model acceptance test on counseling material experts, media experts, and potential users found that the developed model has a good acceptance value. Statistically, it was found that there was an increase in the cultural intelligence of high school students after participating in counseling with the developed model. This happened because the model was developed by the underlying theories. A concise cybercounseling model with a solution focus based on Pancasila values can improve the cultural intelligence of high school students when they use social media.","cultural intelligence;mental health platform;online counselling;pancasila;social media",""
"21","Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing","S. B. Nettur; S. Karpurapu; U. Nettur; L. S. Gajja","2025","IEEE Access","S1+S2+S3","10.1109/ACCESS.2024.3521407","In today’s fast-paced software development environment, Agile methodologies demand rapid delivery and continuous improvement, making automated testing essential for maintaining quality and accelerating feedback loops. Our study addresses the challenges of developing and maintaining automation code for web-based application testing. In this paper, we propose a novel approach that leverages large language models (LLMs) and a novel prompt technique, few-shot chain, to automate code generation for web application testing. We chose the Behavior-Driven Development (BDD) methodology owing to its advantages and selected the Cypress tool for automating web application testing, as it is one of the most popular and rapidly growing frameworks in this domain. We comprehensively evaluated various OpenAI models, including GPT-4-Turbo, GPT-4o, and GitHub Copilot, using zero-shot and few-shot chain prompt techniques. Furthermore, we extensively validated with a vast set of test cases to identify the optimal approach. Our results indicate that the Cypress automation code generated by GPT-4o using a few-shot chained prompt approach excels in generating complete code for each test case, with fewer empty methods and improved syntactical accuracy and maintainability. Based on these findings, we developed a novel open-source Visual Studio Code (IDE) extension, “Cypress Copilot” utilizing GPT-4o and a few-shot chain prompt technique, which has shown promising results. Finally, we validate the Cypress Copilot tool by generating automation code for end-to-end web tests, demonstrating its effectiveness in testing various web applications and its ability to streamline development processes. More importantly, we are releasing this tool to the open-source community, as it has the potential to be a promising partner in enhancing productivity in web application automation testing.","Agile software development;behavior driven development;large language model;machine learning;prompt engineering;software testing;cypress;selenium;web application;AI assistant tools;GitHub Copilot;code generation;test case generation;test automation;zero-shot;few-shot;OpenAI;GPT-3;GPT3.5;GPT-4;GPT-4o","21.0"
"22","Distributed Topological Reliability Analysis via Modular Decomposition and MPI","F. Šefčík; M. Kvassay; M. Mrena","2025","2025 IEEE 13th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS)","S3","10.1109/IDAACS68557.2025.11322338","In this paper, capabilities of a software tool for topological reliability analysis of complex systems are experimentally analysed. This tool is called DDD (Decision Diagram Distributor) and is available with all its source files and experiment scripts for public on GitHub. DDD combines modular decomposition with MPI-based (Message Passing Interface) distributed computation and TeDDy (Templated Decision Diagram library). A user-driven configuration splits the global Boolean structure function into independent submodules, each represented and evaluated as a BDD (Binary Decision Diagram) in the TeDDy. Our main goal is to determine how different computational improvements, including our own, affect the overall runtime of performing complex tasks through various experiments made out of Boolean functions. Just decomposition alone slashes worst-case runtimes from tens of seconds to under one. That is an improvement of over two orders of magnitude on challenging Boolean PLA benchmarks. Parallel execution with 16 processes yields up to 8 times speedup over single process decomposed runs. DDD enables practical reliability evaluation for systems with thousands of components.","Boolean functions;decision diagrams;MPI;reliability;TeDDy",""
