"id","title","authors","year","venue","search_strings","doi","abstract","keywords","citations","v1_decision","v1_reason","v2_decision","v2_reason"
"11","Generating Robot Framework Test Scripts from User Stories and Scenarios for Web Application Testing","K. Waitchasarn; A. Thongtak; T. Suwannasart","2023","2023 8th International Conference on Computer and Communication Systems (ICCCS)","S1","10.1109/ICCCS57501.2023.10151185","The Scrum Framework combined with Behavior-Driven Development (BDD) has gained popularity as an agile development process. In this approach, user requirements are captured and expressed through user stories and scenarios, which serve as examples and acceptance criteria. Employing small iterations, this process reduces both time and cost of software development. Nonetheless, frequent small iterations pose a significant challenge for testing, especially regression testing. To mitigate the problem, automation testing has been adopted; however, manually composing test scripts can be error-prone and inefficient. This can result in the essential regression tests being deferred to later iterations, rendering it too late to identify errors. This paper proposes an approach to address this issue by generating Robot test scripts automatically from user stories and scenarios. Using XML to lay out the UI structures of the web page, test scripts can be created during the design phase. In addition to the examples provided in scenarios, the XML Schema Definition (XSD) is utilized to produce augmented test datasets automatically. Parameterizing test scripts also enables multiple test scripts with shared test steps but different test datasets, to be consolidated into a single script, thus drastically reducing maintenance effort.","software testing;test automation;data-driven testing;robot framework;test script;user story;scenario","2.0","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — sinh test script từ user story + BDD scenario; sát P (user story → test)"
"12","Object Oriented BDD and Executable Human-Language Module Specification","E. Lee; J. Gong; Q. Cao","2023","2023 26th ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)","S1+S2+S3","10.1109/SNPD-Winter57765.2023.10223873","This paper presents an approach to software development which uses a generative AI Model as compiler to translate human language requirements into high-level programming language. We propose an executable human-language module specification and a tool to support it, which has been used successfully for human-language UI test automation. We anticipate further development of this approach to enable complex software to be programmed in human language, allowing for more intuitive and efficient software development.","OOBDD (Object-oriented Behavior Driven Development);GPT;SDD (Specification Driven Development);BDD;HLP (Human Language Programming);LLM (Large Language Model);Generative AI","2.0","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — generative AI dịch human-language requirement thành executable UI test; liên quan I"
"13","Automatic Generation of Acceptance Test Cases From Use Case Specifications: An NLP-Based Approach","C. Wang; F. Pastore; A. Goknil; L. C. Briand","2022","IEEE Transactions on Software Engineering","S3","10.1109/TSE.2020.2998503","Acceptance testing is a validation activity performed to ensure the conformance of software systems with respect to their functional requirements. In safety critical systems, it plays a crucial role since it is enforced by software standards, which mandate that each requirement be validated by such testing in a clearly traceable manner. Test engineers need to identify all the representative test execution scenarios from requirements, determine the runtime conditions that trigger these scenarios, and finally provide the input data that satisfy these conditions. Given that requirements specifications are typically large and often provided in natural language (e.g., use case specifications), the generation of acceptance test cases tends to be expensive and error-prone. In this paper, we present Use Case Modeling for System-level, Acceptance Tests Generation (UMTG), an approach that supports the generation of executable, system-level, acceptance test cases from requirements specifications in natural language, with the goal of reducing the manual effort required to generate test cases and ensuring requirements coverage. More specifically, UMTG automates the generation of acceptance test cases based on use case specifications and a domain model for the system under test, which are commonly produced in many development environments. Unlike existing approaches, it does not impose strong restrictions on the expressiveness of use case specifications. We rely on recent advances in natural language processing to automatically identify test scenarios and to generate formal constraints that capture conditions triggering the execution of the scenarios, thus enabling the generation of test data. In two industrial case studies, UMTG automatically and correctly translated 95 percent of the use case specification steps into formal constraints required for test data generation; furthermore, it generated test cases that exercise not only all the test scenarios manually implemented by experts, but also some critical scenarios not previously considered.","System test case generation;use case specifications;natural language processing;semantic role labeling","70.0","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — NLP sinh acceptance test từ use case; baseline truyền thống (không LLM) để so sánh"
"14","Behave Nicely! Automatic Generation of Code for Behaviour Driven Development Test Suites","T. Storer; R. Bob","2019","2019 19th International Working Conference on Source Code Analysis and Manipulation (SCAM)","S1","10.1109/SCAM.2019.00033","Behaviour driven development (BDD) has gained widespread use in the software industry. System specifications can be expressed as test scenarios, describing the circumstances, actions and expected outcomes. These scenarios are written in a structured natural language (Gherkin), with each step in the scenario associated with a corresponding step implementation function in the underlying programming language. A challenge recognised by industry is ensuring that the natural language scenarios, step implementation functions and underlying system implementation remain consistent with one another, requiring on-going maintenance effort as changes are made to a system. To address this, we have developed behave_nicely, a tool, for automatically generating step implementation functions from structured natural language steps, with the intention of eliminating the need for maintaining step implementation functions. We evaluated our approach on a sample of 20 white box and 50 black box projects using behaviour driven development, drawn from GitHub. Our results show that behave_nicely can generate step implementation functions for 80% of the white box and 17% of black box projects. We conclude that (a) there is significant potential for automating the process of code generation for BDD tests and (b) that the development of guidelines for writing tests in Gherkin would significantly improve the results.","Behaviour driven development;code generation","4.0","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — template-based sinh code cho BDD test suite (Gherkin); baseline không-LLM để so sánh"
"15","ATDLLMD: a test-driven framework for safe, reliable, and business-centric LLM development","V. R. Parupally","2026","International Conference on Advancing Technology in Engineering and Science (ICATES 2025)","S2+S3","10.1049/icp.2025.4778","Rapid progress in the field of large language models (LLMs) has enabled a path to a wide array of innovative applications, but this progress has created new challenges, such as reliability, safety, and alignment with evolving business needs. So we introduce ATDLLMD, an Acceptance Test-Driven LLM Development framework that integrates agile best practices, data-centric methods, and safety engineering into the LLM development process. Addition of an iterative and user-centric feedback loop to traditional acceptance test-driven development (ATDD) enables ATDLLMD to continuously refine both the model and its surrounding systems. Central to our approach are two innovations: the adaptation of the Cognitive Process Management for AI (CPMAI) framework to drive agile, test-first development, and the introduction of LM-Eval—a bespoke evaluation tool that enables business-centric and safety-aware testing. Applied to the MediVoice use-case—a phone bot that autonomously manages patient services—our methodology demonstrates how iterative red-train-green cycles can enhance model performance, build user trust, and ensure adherence to safety specifications via the Guaranteed Safe AI framework. Results from this approach illustrate that ATDLLMD not only streamlines LLM development but also provides a robust roadmap for deploying LLM-based applications in safety-critical environments.","","","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - dùng ATDD để PHÁT TRIỂN LLM (chiều ngược lại), không phải dùng LLM sinh test"
"16","Tie-Breaking in Social Network Search Algorithm for Software Test Redundancy Reduction Optimization Problem","A. M. R. Mekeng; K. Z. Zamli; M. Zarlis; M. A. Mohamad; U. Darusalam","2026","2026 International Seminar on Intelligent Business and Edge-Computing Research (ISIBER)","S3","10.1109/ISIBER68248.2026.11470036","Test Redundancy Reduction (TRR) is an important approach for minimizing the number of test cases while still satisfying all user acceptance test requirements. During the TRR optimization process, situations may arise in which multiple candidate solutions exhibit identical fitness values, leading to ambiguity in solution selection. To address this issue, tie-breaking mechanisms, namely first-element tiebreaking, last-element tie-breaking, and random tie-breaking can be applied, each employing a distinct strategy to resolve equal-fitness solutions. In this study, the Social Network Search (SNS) algorithm is employed to investigate the impact of these tie-breaking mechanisms on TRR optimization performance, motivated by the No Free Lunch (NFL) theorem, which states that no single optimization algorithm performs best across all problems. The experimental evaluation focuses on identifying solutions that achieve full requirement coverage (100%) with the minimum possible number of test cases. Experimental results demonstrate that the SNS algorithm integrated with tie-breaking mechanisms consistently achieves optimal fitness, attaining 100% requirement coverage, and the tie-breaking also effect to runtime.","testing;redundancy reduction algorithm;SNS;Tie Situation;Optimization","","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - về test redundancy reduction (tối ưu test suite), không phải test generation"
"17","VIBE Project Management: An Autonomous AI-Driven Framework for Intelligent Agile Project Orchestration","S. Palaniappan; G. Kacheru","2026","2026 IEEE International Conference on Emerging Computing and Intelligent Technologies (ICoECIT)","S3","10.1109/ICoECIT68303.2026.11497335","Traditional agile project management methodologies rely heavily on manual coordination, human intervention, and reactive problem-solving approaches. This paper introduces VIBE (Virtual Intelligence-Based Execution) Project Management, a novel paradigm that leverages artificial intelligence to autonomously orchestrate the complete agile project lifecycle. Drawing inspiration from the emerging concept of 'vibe coding' in software development, VIBE Project Management transforms tickets and user stories from static data artifacts into dynamic entities within an intelligent ecosystem. We present Writlix, a production implementation of this framework, which demonstrates autonomous requirement capture through conversational interfaces, intelligent task assignment based on real-time capacity analysis, proactive escalation management, and adaptive monitoring systems. Our approach reduces manual project management overhead by approximately 60-75%, while maintaining adherence to established agile principles including INVEST criteria and Gherkin-format acceptance criteria. This paper details the architectural foundations, intelligent agent subsystems, and practical deployment considerations of VIBE Project Management, positioning it as a transformative approach for organizations seeking to optimize their agile workflows through intelligent automation.","Artificial Intelligence;Project Management;Agile Methodology;Intelligent Agents;Workflow Automation;Natural Language Processing;Capacity Planning","","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - về AI quản lý dự án agile, không phải sinh test"
"18","Automating Physics-Based Reasoning for SysML Model Validation","C. Chambers; S. Mueller; P. Ganeriwala; C. Sen; S. Bhattacharyya","2025","2025 IEEE International systems Conference (SysCon)","S1","10.1109/SysCon64521.2025.11014788","System and software design benefits greatly from formal modeling, allowing for automated analysis and verification early in the design phase. Current methods excel at checking information flow and component interactions, ensuring consistency, and identifying dependencies within Systems Modeling Language (SysML) models. However, these approaches often lack the capability to perform physics-based reasoning about a system's behavior represented in SysML models, particularly in the electromechanical domain. This significant gap critically hinders the ability to automatically and effectively verify the correctness and consistency of the model's behavior against well-established underlying physical principles. Therefore, this paper presents an approach that leverages existing research on function representation, including formal languages, graphical representations, and reasoning algorithms, and integrates them with physics-based verification techniques. Four case studies (coffeemaker, vacuum cleaner, hairdryer, and wired speaker) are inspected to illustrate the model's practicality and effectiveness in performing physics-based reasoning on systems modeled in SysML. This automated physics-based reasoning is broken into two main categories: (i) structural, which is performed on BDD and IBD, and (ii) functional, which is then performed on activity diagrams. This work advances the field of automated reasoning by providing a framework for verifying structural and functional correctness and consistency with physical laws within SysML models.","Formal representation and reasoning;Function-based Design;Model-Based Systems Engineering","","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - về SysML model validation (physics), không phải BDD/Gherkin generation"
"19","Exploring Large Language Models for Requirements on String Values","A. A. Babikian; B. Chen; G. Mussbacher","2025","2025 IEEE/ACM Workshop on Multi-disciplinary, Open, and RElevant Requirements Engineering (MO2RE)","S1+S2+S3","10.1109/MO2RE66661.2025.00009","Behavior-driven development (BDD) enables collaboration among different stakeholders by employing a natural-language representation of system requirements and of test scenarios. These scenarios often involve constraints over string values, e.g. for the validity of email addresses, which are challenging to test comprehensively. Traditional methods like SMT solvers (e.g. Z3, Ostrich) handle constraints efficiently but produce unrealistic strings and require formal specifications that are often unavailable and expensive to compute. This paper explores the potential of large language models (LLMs) in generating realistic, constraint-satisfying strings for BDD. We propose an evaluation framework to assess LLMs’ ability to (1) generate consistent string values and (2) detect constraint inconsistencies. In our experiments, three LLMs are compared to state-of-the-art solvers using constraints from a software engineering course project. Results show that while solvers dominate in precision and recall, LLMs derive realistic strings more suitable for a requirements engineering context. With these trade-offs, we believe that, when formal constraints are available, a combined LLM-solver approach could offer a more effective solution.","large language model;specification-based testing;constraint solving","2.0","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - hẹp về string-value constraints trong BDD, không phải sinh toàn bộ Gherkin từ user story"
"20","Framework for improving Software Requirements via Automated Behavior-Driven Development: A Priority-Based Approach*","Z. Yousaf; M. Sohail; J. Iqbal; A. Ullah; S. Mehta","2025","2025 International Conference on Communication Technologies (ComTech)","S1","10.1109/ComTech65062.2025.11034632","A novel framework for automating behavior-driven development (BDD) and improving software requirements is presented in this paper using a priority-based approach. Through the integration of BDD concepts with automated prioritization techniques, the framework seeks to address the difficulties associated with software demand prioritization. The main goal is to make sure that important features are addressed first by coordinating software development efforts with business priorities. The Priority Predictor, a crucial element that uses BDD scenarios to rank software needs, was designed and implemented as part of the framework’s development. The framework is simple to use in development processes since it interfaces smoothly with popular BDD tools like Cucumber.","","","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Exclude","EC-O - trọng tâm là requirement prioritization, không phải đánh giá chất lượng test sinh ra"
"21","System Design for Automating Incident Update Responses Using Large Language Models","G. A. Muhamad; C. R. Winata; K. Habib","2025","2025 Tenth International Conference on Informatics and Computing (ICIC)","S2+S3","10.1109/ICIC68054.2025.11309686","This paper presents a system design for automating incident update responses in telecommunication service providers using Large Language Models (LLMs). We address key challenges in current incident management practices: tailoring customer-faced communications while also maintaining cost efficiency and user experience. The proposed system design implements a caching mechanism to reduce operational costs and response latency. Rather than using semantic similarity search, our system employs a strict key-match caching approach that ensures consistent responses while minimizing computational overhead. We selected DeepSeek-V3 API as our primary LLM based on comprehensive cost-performance analysis. Our prompt engineering approach incorporates persona definition, chain-of-thought reasoning, and constitutional AI principles to generate tailored responses. Experimental results demonstrate significant efficiency gains, validated through quantitative analysis. Eliminating redundant LLM calls avoids linear cost growth, while reduced latency improves speed by 99%. Additionally, LLM response quality successfully passed User Acceptance Test. This work contributes to the practical implementation of LLMs in Customer Relationship Management systems by balancing cost efficiency, response quality, and customer experience.","system design;automation;large language models;caching mechanism","","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - LLM cho incident communication (telecom), không phải testing"
