id,domain,project_name,user_story
11,E-commerce,Sylius,"As a guest visitor,
I want to leave a review with a rating and comment for a product,
So that I can share my feedback and experience about the product with other potential customers.

Acceptance Criteria:
- A guest must be able to select a product and initiate the review process by providing their email address, a title, a comment, and a rating.
- Upon submission, the guest must receive a notification confirming that their review has been received and is pending acceptance.
- Newly submitted reviews from guests must not be immediately visible to other customers until they have been approved."
12,E-commerce,Sylius,"As a Store Administrator,
I want catalog promotions to be applied to products in descending order of their priority,
So that customers see accurate final discounted prices when multiple promotions overlap on the same product.

Acceptance Criteria:
- When multiple catalog promotions apply to the same product variant, they must be applied sequentially starting from the highest priority value to the lowest.
- Each promotion (whether a percentage discount or a fixed amount discount) must be calculated based on the price resulting from the previously applied promotion, not the original price.
- The product page must display the original price, the final discounted price, and the names of all applied promotions in the order they were processed."
13,E-commerce,Sylius,"As a customer,
I want the cart page to prevent any modifications (clearing, removing items, or changing quantities) once my order has already been completed in the background,
So that I cannot accidentally mutate or corrupt a completed order by interacting with a stale, outdated cart page.

Acceptance Criteria:
- If a customer attempts to clear the cart from a stale cart page (i.e., the order was completed in the background without reloading), the completed order must remain intact in the database and its checkout state must remain ""completed"".
- If a customer attempts to remove an item from the cart on a stale page after the order has been completed, the completed order must still exist and must still contain its original item(s), unaffected by the removal action.
- If a customer attempts to increase the quantity of an item in the cart on a stale page after the order has been completed, the completed order must still exist and the item quantity must remain unchanged from its original value.
- These protections must apply regardless of whether the page was reloaded, ensuring stale client-side state cannot desynchronize from the actual server-side order status."
14,E-commerce,Sylius,"As an Administrator,
I want to browse and view the list of customer orders in the store,
So that I can monitor and manage incoming orders efficiently.

Acceptance Criteria:
- The administrator must be logged in to access the orders list.
- When an order is placed by a customer, it should appear in the orders list.
- The orders list should display the correct customer information associated with each order."
15,E-commerce,Sylius,"As a customer,
I want to provide only a shipping address during checkout when the store's channel requires solely the shipping address,
So that I can complete the addressing step quickly without entering redundant billing information.

Acceptance Criteria:
- The checkout addressing step must accept a shipping address containing city, street, postcode, country, and recipient name.
- When the channel is configured to require only the shipping address, the system should not demand a separate billing address to proceed.
- After successfully submitting the required shipping address, the customer should be automatically progressed to the checkout shipping step."
16,E-commerce,Sylius,"As a store administrator,
I want to create new administrator accounts with email, name, password, and locale settings,
So that I can grant additional users access to manage the store.

Acceptance Criteria:
- An administrator can create a new administrator account by specifying an email, name, password, and locale, and upon adding it, a success notification should be displayed and the new administrator should appear in the store's list of administrators.
- An administrator can create a new administrator account, enable it during creation, and the newly created administrator should be able to log in successfully using the specified email and password credentials.
- The system must support creating administrator accounts within a single-channel store setup, such as one operating in ""United States""."
17,E-commerce,Sylius,"As a store administrator,
I want to create a new sales channel with complete shop billing data (company, tax ID, and billing address),
So that I can properly configure and manage a new channel for a specific market with accurate billing and legal information.

Acceptance Criteria:
- The administrator must be able to specify a unique code and name for the new channel
- The administrator must be able to select a base currency, an available locale, and a default locale for the channel
- The administrator must be able to select a tax calculation strategy for the channel
- The administrator must be able to provide shop billing data, including company name, tax ID, and billing address (street, postcode, city, and country)
- Upon successful creation, the system should display a confirmation notification to the administrator
- The newly created channel should appear in the channel registry with the specified name"
18,E-commerce,Sylius,"As an administrator,
I want to create new sales channels with essential and additional configuration details,
So that I can manage distinct storefronts with tailored currencies, locales, tax strategies, and checkout behaviors.

Acceptance Criteria:
- The administrator must be able to create a new channel by specifying a code, name, base currency, available locale, default locale, and tax calculation strategy, and upon successful creation, receive a confirmation notification with the new channel appearing in the registry.
- The administrator must be able to optionally provide additional details when creating a channel, including a description, hostname, contact email, contact phone number, color, and a selection of operating countries.
- The administrator must be able to configure checkout behavior options, such as allowing the shipping step to be skipped when only one shipping method is available and allowing the payment step to be skipped when only one payment method is available.
- The system must confirm successful creation of the channel and display it in the channel registry regardless of whether only mandatory fields or both mandatory and optional fields were provided."
19,E-commerce,Sylius,"As a store administrator,
I want to be prevented from finalizing an order's payment when a purchased item has become tracked in inventory after the order was placed and does not have sufficient stock,
So that I avoid confirming payments for orders that cannot actually be fulfilled due to stock shortages.

Acceptance Criteria:
- When viewing an order summary for a previously placed order, if a product within that order becomes stock-tracked after purchase with fewer available units than the quantity ordered, attempting to mark the order as paid must be blocked.
- The administrator must be notified that the payment could not be finalized due to insufficient stock whenever the tracked inventory is less than the ordered quantity.
- After a failed attempt to mark the order as paid due to insufficient stock, the order's payment state must remain ""New""."
20,E-commerce,Sylius,"As a store administrator,
I want to browse and view the list of product association types configured in the store,
So that I can review and manage the existing associations available for products.

Acceptance Criteria:
- Given the store has multiple product association types (e.g., ""Cross sell"" and ""Up sell"") already created, the administrator can access a list view of all product association types.
- The list should display the correct total count of product association types matching the number configured in the store.
- Each product association type in the list should be identifiable by its name (e.g., ""Cross sell"" should appear in the list)."
21,E-commerce,Sylius,"As a Store Administrator,
I want to create a new text-type product attribute by specifying its code and name,
So that I can define custom textual properties for products in the store.

Acceptance Criteria:
- The administrator must be able to create a text attribute by providing a unique code and a name in a selected language.
- Upon successful creation, the administrator should receive a confirmation notification and the new text attribute should be visible in the store.
- While creating a text attribute, the type field must be disabled to prevent changing the attribute type during this process."
22,E-commerce,Sylius,"As a customer,
I want the address book edit form to safely handle address fields even if they contain malicious script-like content,
So that I can update my address information without being exposed to potential XSS (Cross-Site Scripting) attacks.

Acceptance Criteria:
- The store operates on a single channel in ""United States"" and the user is a logged-in customer.
- The customer has an existing address in their address book that contains a province value with embedded malicious script content (e.g., an XSS payload).
- When the customer opens the edit form for that address, the page must render without executing any injected script or triggering an unexpected alert popup.
- The customer must be able to successfully update the address information through the edit form without any interruption caused by malicious script execution.
- Any potentially dangerous characters or script tags in the address fields must be properly escaped or sanitized when displayed or processed by the system."
23,E-commerce,Sylius,"As a Customer,
I want to be able to return to the shop homepage while I am on the checkout addressing step,
So that I can easily continue shopping or navigate away from checkout without getting stuck.

Acceptance Criteria:
- The store operates on a single channel in ""United States"", with the product ""The Stick of Truth"" priced at ""$19.99"" and available with free shipping everywhere.
- When a product has been added to the cart and the customer is at the checkout addressing step, selecting the option to go back to the store should redirect the customer to the homepage."
24,E-commerce,Sylius,"As a Store Administrator,
I want to view all existing zones sorted by priority in descending order,
So that I can quickly identify which zones are most important and understand their ranking within the store configuration.

Acceptance Criteria:
- When viewing the list of all zones in the store, they should be displayed sorted by priority from highest to lowest by default
- A zone created without an explicitly specified priority should automatically receive a default priority of 0, placing it at the bottom of the sorted list
- The zone list should accurately reflect the total count of zones and display the correct zone at both the top (highest priority) and bottom (lowest priority) positions"
25,E-commerce,Sylius,"As a Customer,
I want to complete the checkout process and confirm my order when a shipping promotion is applied,
So that I can benefit from the discount on shipping cost while successfully placing my order.

Acceptance Criteria:
- The customer can add a product to the cart and proceed through the checkout addressing step by providing an email and billing address.
- The system correctly applies the active promotion, granting a 10% discount on the shipping fee, when the customer selects the shipping method during checkout.
- The customer can select an available shipping method and an offline payment option, then confirm the order.
- Upon successful order confirmation, the customer is redirected to the thank you page."
26,E-commerce,Sylius,"As a store administrator,
I want to reorder the images of a product,
So that I can control the display sequence of product images in the store.

Acceptance Criteria:
- The administrator can access the image management view for a specific product and modify the position of each existing image.
- The administrator can assign a new position value to each image (small, medium, large) and save the changes.
- After saving, the images should be reordered according to the newly assigned positions, with each image's type correctly reflecting its new position in the list."
27,E-commerce,Sylius,"As a Customer,
I want to see the lowest price a discounted product was sold at during the previous 30 days,
So that I can evaluate whether the current discount is genuine before making a purchase decision.

Acceptance Criteria:
- When a product has no discount, no lowest-price-before-discount information is displayed.
- When a product is discounted, the lowest price at which it was offered (with or without a prior discount) within the last 30 days is displayed, and this reference price updates correctly as the price and discount history change over time, only considering price points within the rolling 30-day window.
- When a discount is removed and the product returns to its original price, no lowest-price-before-discount information is displayed, unless the price later drops below that original price and a new discount is subsequently applied, in which case the lowest price recorded is shown.
- Catalog promotions are treated the same as manual price changes when determining the lowest price before the discount.
- The lowest-price-before-discount information can be enabled or disabled per sales channel, and when disabled, it is never shown to customers regardless of discount history."
28,E-commerce,Sylius,"As a customer,
I want the available shipping methods to be displayed in a specific, predefined order during checkout,
So that I can easily find and select my preferred shipping option based on a consistent and logical arrangement.

Acceptance Criteria:
- Given a store with multiple shipping methods each assigned a specific position, the shipping methods should be displayed in ascending order according to their assigned positions.
- When a logged-in customer adds a product to the cart, provides shipping address details, and proceeds to the shipping step, the shipping method list should reflect the correct sorted order.
- The shipping method with the lowest position value should appear as the first choice, and the one with the highest position value should appear as the last choice."
29,E-commerce,Sylius,"As a customer,
I want to view a product's images on the product details page in the correct order,
So that I can see the main product image prominently and browse additional images easily.

Acceptance Criteria:
- When viewing a product details page, the product name should be displayed correctly.
- The main image displayed should be the one designated with the ""main"" type.
- Product images should be displayed as thumbnails in the correct order based on their assigned position, with the ""main"" type image appearing first.
- Additional images (e.g., ""other"" type) should appear as subsequent thumbnails after the main image, in their assigned order."
30,E-commerce,Sylius,"As a store administrator,
I want the system to validate the data I enter when creating or editing a taxon,
So that I can avoid submitting incomplete, incorrect, or duplicate taxon information that could compromise the store's product categorization.

Acceptance Criteria:
- When attempting to add a translation for a taxon using a locale that is not available in the store, the system should notify the administrator that the locale is not available.
- When attempting to create a new taxon without specifying a code, the system should notify the administrator that the code is required, and the taxon should not be added.
- When attempting to create a new taxon without specifying a name, the system should notify the administrator that the name is required.
- When attempting to create a new taxon with a code that exceeds the maximum allowed length, the system should notify the administrator that the code is too long.
- When attempting to create a new taxon without specifying a slug (via the UI only), the system should notify the administrator that the slug is required.
- When attempting to create a new taxon with a slug that is already used by another taxon, the system should notify the administrator that the taxon slug must be unique."
31,E-commerce,Sylius,"As an administrator,
I want to delete a product association type from the store,
So that I can keep the registry of association types clean and free of unused or unnecessary entries.

Acceptance Criteria:
- The administrator must be logged in to perform the deletion.
- Upon deleting an existing product association type (e.g., ""Cross sell""), the system displays a confirmation notification that the deletion was successful.
- After deletion, the product association type no longer exists in the registry."
32,E-commerce,Sylius,"As a Store Administrator,
I want to browse the list of customer groups configured in the store,
So that I can view and verify all existing customer groups at a glance.

Acceptance Criteria:
- Given the store has customer groups ""Retail"" and ""Wholesale"" already created, when I access the customer group browsing page, the system should display a list containing 2 customer groups.
- The displayed list should correctly include the customer group named ""Retail"".
- Only an authenticated administrator should be able to access and browse the customer group list."
33,E-commerce,Sylius,"As a customer,
I want the checkout process to automatically skip the shipping step when my order does not contain any items requiring shipping,
So that I can complete my purchase faster without going through an unnecessary shipping selection step.

Acceptance Criteria:
- When all items in the cart do not require shipping (e.g., digital products like ebooks), after completing the addressing step, the customer should be redirected directly to the payment step, bypassing the shipping step.
- When at least one item in the cart requires shipping (e.g., a physical book), after completing the addressing step, the customer should be redirected to the shipping step as usual.
- The determination of whether shipping is required should be based on the shipping requirements of each individual product variant in the cart."
34,E-commerce,Sylius,"As a store administrator,
I want to remove a product variant's price from a specific channel,
So that I can manage pricing configurations for channels where the product is disabled or no longer relevant, while retaining the original price for reference.

Acceptance Criteria:
- The administrator should be able to remove a configured price for a product variant on a specific channel, even if the product is disabled on that channel.
- After removing the price, the product variant should no longer have a configured price for that channel.
- The original price for the product variant on that channel should remain unchanged and still be displayed.
- This behavior should be consistent whether the channel itself is enabled or disabled."
35,E-commerce,Sylius,"As a Customer,
I want to be prevented from adding more items to my cart than are available in stock,
So that I can only purchase products that the store can actually fulfill.

Acceptance Criteria:
- The store operates on a single channel in the United States.
- A product can be tracked by inventory and have a defined available stock quantity.
- When a customer adds a quantity of a tracked product that is less than or equal to the available stock, the item is added to the cart successfully.
- When the requested quantity is in stock, the customer is not notified about insufficient stock.
- After successfully adding in-stock items to the cart, the customer is redirected to the cart summary page."
36,E-commerce,Sylius,"As a Administrator,
I want to view order items using the product names that were used when the order was placed,
So that I can accurately review past orders even if product names change later.

Acceptance Criteria:
- An administrator can view the summary of an existing order.
- The order summary displays the correct number of items in the order.
- Order items are listed using the original product names captured at purchase time, even if the products have since been renamed.
- The items list includes the originally purchased product name ""Angel T-Shirt"".
- The items list includes the originally purchased product name ""Angel Mug"".
- The order items total is displayed as ""$58.00"".
- The order total is displayed as ""$58.00""."
37,E-commerce,Sylius,"As an Administrator,
I want to edit existing zones by changing their name, priority, and members,
So that I can keep my tax and shipping configuration accurate and up to date.

Acceptance Criteria:
- I can remove a country from an existing zone and save the changes successfully.
- I can remove multiple countries from a zone, add a country back, and save the changes successfully.
- I can remove a province from an existing zone and save the changes successfully.
- I can remove a nested zone from an existing zone and save the changes successfully.
- I can rename an existing zone and save the changes successfully.
- I can change a zone’s priority and save the changes successfully.
- After saving edits, I receive a success notification.
- The zone’s members are updated to reflect only the remaining or newly added members.
- The zone’s name is updated when renamed.
- The zone’s priority is updated when changed."
38,E-commerce,Sylius,"As a Customer,
I want to receive a fixed discount on each unit of a promoted product in my cart,
So that I can buy specific products at a reduced price.

Acceptance Criteria:
- When a promoted product is added to the cart, its unit price is decreased by the configured fixed discount.
- When a non-promoted product is added to the cart, its price is not decreased.
- When multiple units of a promoted product are added to the cart, the fixed discount is applied to each unit.
- The discount applied to a promoted product cannot exceed the total price of the items, and the cart total cannot go below $0.00.
- The fixed discount is applied only to the specified product and does not affect other products in the cart.
- Different promotions can apply different fixed discounts to different products in the same cart.
- The cart total reflects the sum of all discounted and non-discounted item prices after promotions are applied."
39,E-commerce,Sylius,"As an Administrator,
I want to navigate directly between product show, edit, and variant edit pages,
So that I can efficiently manage products and their variants from the admin panel.

Acceptance Criteria:
- From a simple product show page, I can open that product’s edit page.
- From a configurable product show page, I can open that product’s edit page.
- From a product show page, I can open the edit page of one of its variants.
- From a simple product edit page, I can open that product’s show page.
- From a configurable product edit page, I can open that product’s show page.
- From a simple product creation page, I cannot open a product show page.
- From a configurable product creation page, I cannot open a product show page."
40,E-commerce,Sylius,"As an Administrator,
I want to delete product reviews,
So that I can remove test, obsolete, or incorrect reviews from the store.

Acceptance Criteria:
- An administrator can delete an existing product review.
- After deletion, the administrator is notified that the product review has been successfully deleted.
- Once deleted, the product review no longer exists in the registry."
41,E-commerce,Sylius,"As an Administrator,
I want to delete multiple product attributes at once,
So that I can efficiently remove obsolete, incorrect, or test attributes from the catalog.

Acceptance Criteria:
- Given product attributes exist and I am logged in as an administrator, I can browse the product attributes list.
- I can select multiple product attributes from the list.
- I can delete the selected product attributes in a single action.
- After deletion, I am notified that the selected product attributes were successfully deleted.
- The deleted product attributes no longer appear in the list.
- Any product attributes not selected for deletion remain in the list."
42,E-commerce,Sylius,"As an Administrator,
I want to filter payments by state,
So that I can quickly browse payments matching a specific status.

Acceptance Criteria:
- The payments list can be filtered by payment state from the payments browsing page.
- When filtering by state ""New"", the list shows 3 payments: the payments of orders ""#00000001"", ""#00000005"", and ""#00000006"", and does not show the payment of order ""#00000002"".
- When filtering by state ""Completed"", the list shows a single payment: the payment of order ""#00000002"", and does not show the payment of order ""#00000003"".
- When filtering by state ""Processing"", the list shows a single payment: the payment of order ""#00000003"", and does not show the payment of order ""#00000004"".
- When filtering by state ""Refunded"", the list shows a single payment: the payment of order ""#00000004"", and does not show the payment of order ""#00000005"".
- When filtering by state ""Cancelled"", the list shows a single payment: the payment of order ""#00000005"", and does not show the payment of order ""#00000006"".
- When filtering by state ""Failed"", the list shows a single payment: the payment of order ""#00000006"", and does not show the payment of order ""#00000001""."
43,E-commerce,Sylius,"As a Visitor,
I want to have fixed order discounts distributed correctly across cart item units,
So that I pay the proper amount when multiple promoted products are added to my cart.

Acceptance Criteria:
- The store supports fixed-amount promotions applied to orders.
- When multiple fixed discounts are stacked, they are applied according to their priority.
- Fixed discounts are distributed across item units in the cart correctly.
- Adding 3 units of ""PHP T-Shirt"" and 1 unit of ""Symfony Mug"" results in a cart total of ""$1.26"".
- The total discount applied to the cart is ""-$91.68"".
- The cart shipping total remains ""$1.26""."
44,E-commerce,Sylius,"As an Administrator,
I want to modify a customer's shipping address after an order has been placed,
So that I can ensure the order is shipped to the correct destination.

Acceptance Criteria:
- I can open the summary of an existing placed order and edit its shipping address.
- I can change the shipping recipient name, street address, postal code, city, and country.
- After saving the changes, I receive a success notification.
- The order’s shipping address is updated to the new values.
- When changing the shipping country, I can only select provinces that belong to that country.
- Updating the shipping address does not change the order total, even if the product price has changed after the order was placed.
- Updating the shipping address does not change the order total if the channel has been disabled.
- Updating the shipping address does not change the order total if the currency has been disabled.
- Updating the shipping address does not change the order total if the ordered product is out of stock."
45,E-commerce,Sylius,"As a Visitor,
I want to see product breadcrumbs with only clickable available taxons,
So that I can navigate the catalog without being sent to disabled categories.

Acceptance Criteria:
- Given a store operating on a channel named ""Poland""
- And the store classifies products as ""T-Shirts""
- And the ""T-Shirts"" taxon has children taxons ""Men"" and ""Women""
- And a product ""T-Shirt Coconut"" is available in the ""Poland"" channel
- And this product has a main taxon ""Men""
- When the ""Men"" taxon is disabled
- And I view product ""T-Shirt Coconut""
- Then I should not be able to click the disabled main taxon ""Men"" in the breadcrumb"
46,E-commerce,Sylius,"As a Customer,
I want to receive fixed discounts on products from specific taxons in my cart,
So that I can pay less for promoted items while shopping.

Acceptance Criteria:
- A promotion can apply a fixed monetary discount to every product classified under a specific taxon.
- When a customer adds one discounted product from the promoted taxon to the cart, the item price is reduced by the promotion amount and the cart total reflects the discount.
- When a customer adds multiple discounted products from the promoted taxon to the cart, the discount is applied to each eligible item and the cart total reflects the combined discount.
- If the total fixed discount for eligible items equals the items’ total price, the cart total becomes $0.00.
- If the total fixed discount for eligible items is greater than the items’ total price, the cart total does not go below $0.00.
- Discounts are applied only to products belonging to the promoted taxon; products from other taxons are not discounted.
- Multiple promotions can apply different fixed discounts to products from different taxons in the same cart.
- The cart total is calculated from the discounted prices of all items in the cart."
47,E-commerce,Sylius,"As a Visitor,
I want to have the account registration form prefilled after placing an order,
So that I can create an account more easily after checkout.

Acceptance Criteria:
- After completing checkout as a visitor, the thank you page is displayed.
- On the thank you page, the visitor can proceed to registration.
- The registration form is prefilled with the email address used during checkout.
- If the customer is already logged in, they can still complete checkout and see the thank you page.
- If the customer is already logged in, they should not be offered the option to proceed to registration."
48,E-commerce,Sylius,"As an Administrator,
I want to have order numbers generated sequentially,
So that each order has a unique, predictable number.

Acceptance Criteria:
- When I browse the orders list, I should see orders numbered sequentially.
- The first created order should have the number `#000000001`.
- The second created order should have the number `#000000002`.
- Order numbers should be unique across orders."
49,E-commerce,Sylius,"As a Customer,  
I want to be prevented from changing the payment method of a cancelled order,  
So that I can only perform valid operations on orders that are no longer active.

Acceptance Criteria:
- A logged-in customer with a cancelled order can browse the order details.
- If the customer tries to change the payment method of a cancelled order, the system blocks the change.
- The customer is notified that the payment method can no longer be changed for that order."
50,E-commerce,Sylius,"As an Administrator,
I want to edit customer details,
So that I can keep customer information accurate and up to date.

Acceptance Criteria:
- I can edit an existing customer’s first name and last name.
- When I save changes to a customer’s first and last name, I am notified that the customer has been successfully edited.
- The updated customer name is reflected in the store after saving.
- I can remove an existing customer’s first name.
- I can remove an existing customer’s last name.
- When I save changes after removing the customer’s first and last name, I am notified that the customer has been successfully edited.
- The customer’s first name can be empty after saving.
- The customer’s last name can be empty after saving.
- I can mark an existing customer as subscribed to the newsletter.
- When I save changes after subscribing the customer to the newsletter, I am notified that the customer has been successfully edited.
- The customer is shown as subscribed to the newsletter after saving.
- I can assign a customer group to an existing customer.
- When I save changes after selecting a group, I am notified that the customer has been successfully edited.
- The selected customer group is saved and displayed for the customer."
51,E-commerce,Sylius,"As an Administrator,
I want to be prevented from creating a channel with a code that already exists,
So that each channel can be uniquely identified in the system.

Acceptance Criteria:
- The system must already allow a channel to exist with code ""WEB"".
- When I create a new channel and set its code to an existing code such as ""WEB"", the creation must be rejected.
- I must be notified that a channel with this code already exists.
- The system must not create a duplicate channel with the same code.
- After the attempt, there must still be only one channel with code ""WEB""."
52,E-commerce,Sylius,"As an Administrator,
I want to create a new sales channel with a menu taxon,
So that I can sell products through specific channels using products from selected categories.

Acceptance Criteria:
- I can create a new channel by specifying its code, name, base currency, available locale(s), default locale, tax calculation strategy, and menu taxon.
- When I add the channel, I am notified that it has been successfully created.
- The newly created channel appears in the channels registry.
- The channel is saved with the selected menu taxon."
53,E-commerce,Sylius,"As a Administrator,
I want to mark an order’s payment as refunded,
So that I can record when a customer’s payment has been successfully refunded.

Acceptance Criteria:
- An administrator viewing an order summary can mark the order’s payment as refunded.
- When the payment is marked as refunded, the system shows a success notification confirming the refund.
- The order’s payment state is updated to `refunded`.
- After all payments for an order are refunded, the order’s overall payment state is `refunded`."
54,E-commerce,Sylius,"As an Administrator,
I want to create a product attribute and choose whether it is translatable,
So that I can define attributes that are either language-specific or shared across all locales.

Acceptance Criteria:
- An administrator can create a new integer product attribute.
- The administrator can set the attribute code during creation.
- The administrator can provide a name for the attribute in the available locale.
- The administrator can disable the translatability option for the attribute.
- When the attribute is added with translatability disabled, it is created successfully.
- The system shows a success notification after the attribute is created."
55,E-commerce,Sylius,"As an Administrator,
I want to browse product options,
So that I can see all defined product options in the store.

Acceptance Criteria:
- An administrator can access the product options list while logged in.
- When product options exist in the store, they are displayed in the list.
- The list shows all defined product options.
- Each product option is present in the registry and can be found by its name and code."
56,E-commerce,Sylius,"As a Visitor,
I want to track the total quantity of the cart,
So that I can easily determine the number of products I’m about to buy.

Acceptance Criteria:
- The cart total quantity is displayed when a product is added to the cart.
- When 1 unit of a single product is added to the cart, the total quantity is 1.
- When 2 units of a single product are added to the cart, the total quantity is 2.
- When multiple different products are added with varying quantities, the cart total quantity equals the sum of all item quantities.
- The total quantity updates correctly as products are added to the cart."
57,E-commerce,Sylius,"As a Customer,
I want to see the current product prices in my cart and during checkout even if a catalog promotion is no longer available,
So that I can complete my order using the correct, up-to-date prices.

Acceptance Criteria:
- When a customer has a product variant in the cart and the related catalog promotion becomes unavailable, the cart should retain the product.
- During checkout, the system should recalculate and display the current unit price for the product variant.
- The checkout summary step should show the product with its original current price, not the discounted promotional price, when the promotion is no longer eligible."
