ID,Title,Authors,Year,Venue,Search_String,Link,v1_decision,v1_reason,v2_decision,v2_reason
10.48550/arXiv.2510.14509,E2Edev: Benchmarking Large Language Models in End-to-End Software Development Task,"J Liu, C Huang, Z Guan, W Lei, Y Deng",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2510.14509,UNSURE,May contain test generation component - needs full text review,EXCLUDE,"EC4: LLM benchmarking for end-to-end SW development, not Gherkin/BDD generation"
N7SY5JRJ,An Experiment with Focus on Security Through Large-Language Models Using Behavior-Driven Development,"S Santos, T Pimentel, M Silva, L Santos, F Rocha",2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.preprints.org/manuscript/202509.1860/download/final_file,INCLUDE,,EXCLUDE,"EC3: Preprint chưa peer-reviewed (preprints.org), số liệu định lượng rất hạn chế"
3YLFT8Y2,Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments.,FA Almeyda Alania,2025.0,search.ebscohost.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=2158107X&AN=190677643&h=kWPbz51ClNDi4o3UrVz%2BIJwxbe2JFh8HyA%2FpAme%2FSXFC3cjcURY%2FEZCNkXbpd44yc94zl7lfyrPOD%2FVmmHbesQ%3D%3D&crl=c,INCLUDE,,INCLUDE,
9PN76X3F,LARGE LANGUAGE MODELS IN HIGH-LEVEL SOFTWARE TESTING,T Grönberg,2026.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://trepo.tuni.fi/bitstream/handle/10024/234400/GronbergToni.pdf?sequence=2,UNSURE,May be relevant - needs full text review,EXCLUDE,"EC5: thesis/grey literature, no clear quantitative experimental results"
CN0B3I6L,"Selfbehave, generating a synthetic behaviour-driven development dataset using self-instruct","M Galloy, M Balfroid, B Vanderose",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/10962479/,INCLUDE,,EXCLUDE,"EC4: synthetic BDD dataset creation, not Gherkin from user story"
S08EFWOI,AutomTest 3.0: An automated test-case generation tool from User Story processing powered with LLMs,"JG Santos, RSP Maciel",2024.0,sol.sbc.org.br,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://sol.sbc.org.br/index.php/sbes/article/view/30424,INCLUDE,,INCLUDE,
9BIVOWYP,"… Testing: Test scenario and case generation with an AI model (gpt-3.5-turbo) using Prompt engineering, Fine-tuning and Retrieval augmented generation …",G Adu,2024.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://erepo.uef.fi/bitstreams/c1d2923d-b984-4f47-8608-084914ed020f/download,UNSURE,Needs further review,INCLUDE,Cần đọc thêm
R27DL65R,Semantic-Contextual Automation of Scriptless BDD Testing for Intelligent Test Coverage Enhancement,"SS Murugan, M Balamurugan",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11366954/,INCLUDE,,EXCLUDE,"EC4: scriptless BDD test execution, not generation from user story"
8B7I9Z73,Prompt Engineering for Analyzing Acceptance Criteria for Functional Requirements,"L Rutledge, K van der Kruk",2025.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/chapter/10.1007/978-3-031-98033-6_11,UNSURE,Related to acceptance criteria - needs full text review,EXCLUDE,"EC4: analyzing acceptance criteria, not Gherkin scenario generation"
VUZAGJKL,GUIDE: A Framework for Improving Functional Software Test Descriptions with Language Models,"M Ronzon, T Roger, Z Miklos",2025.0,aclanthology.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://aclanthology.org/2025.icnlsp-1.23.pdf,INCLUDE,,EXCLUDE,"EC4: improving test descriptions, not Gherkin generation from user story"
ZC8NOTUE,Automated test plan generation using large language models,"S Haldar, LF Capretz",2026.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/article/10.1007/s11219-026-09744-9,UNSURE,May be relevant - needs full text review,EXCLUDE,"EC4: high-level test plan generation, not Gherkin/BDD scenario generation"
TGU0F4TX,Towards a Gherkin-Based Requirement Verification Approach in MBSE,"D Hoffmann, SR Ammana, AJ Dsouza",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11370125/,INCLUDE,,EXCLUDE,"EC4: Gherkin for MBSE verification, not generation from user story"
6WOH27MW,Human-LLM Collaborations for Modeling Requirements-Based Testing: An Initial Investigation,A Golla,2026.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://rave.ohiolink.edu/etdc/view?acc_num=ucin1778857143659977,UNSURE,May be relevant - needs full text review,EXCLUDE,"EC4: general requirements-based test modeling, not Gherkin generation from user story"
CMGR1MRI,Large Language Model (LLM)-Based Automation for Software Test Script Generation,S Kavuri,2022.0,researchgate.net,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.researchgate.net/profile/Srikanth-Kavuri-2/publication/398737159_Large_Language_Model_LLM-Based_Automation_for_Software_Test_Script_Generation/links/69415b62a1fd01798908575f/Large-Language-Model-LLM-Based-Automation-for-Software-Test-Script-Generation.pdf,INCLUDE,,EXCLUDE,"EC2+EC5: ResearchGate 2022, không tìm được peer-reviewed PDF, dataset rất nhỏ"
C96DIK22,"Evaluating LLM-Generated Test Scripts, Manual Test Development, and Capture-and-Replay Approaches for Testing XR Applications",SN Modarressi,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ucalgary.scholaris.ca/items/5a3886d3-bb4a-481c-9c50-20973901dd41,UNSURE,Compares LLM vs manual - needs full text review,EXCLUDE,"EC4: XR application test scripts, not Gherkin/BDD from user story"
A85273MS,Integrating Model-Driven Engineering and Large Language Models for Test Scenario Generation for Smart Contracts,"I Al-Azzoni, S Iqbal, T Al Ashkar, Z Erum",2025.0,mdpi.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.mdpi.com/2078-2489/17/1/1,INCLUDE,,EXCLUDE,"EC4: smart contracts domain, not Gherkin/BDD from Connextra user story"
