paper_id,seq_id,Title,Authors,Year,Venue,Search_String,Link
B5C4WXT3,57,Empowering agile-based generative software development through human-ai teamwork,"S Zhang, Z Xing, R Guo, F Xu, L Chen… - ACM Transactions on …, 2025",2025.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3702987
LJKJQYU2,58,[CITATION][C] Aplicación de IA generativa para el mantenimiento de pruebas automáticas,I Ascó Cholbi,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",
BKOAWZ94,59,Optimizing the creation and maintenance of automated end-to-end tests for web application testing,T Maunu,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://aaltodoc.aalto.fi/items/54cf8f43-d4d8-4ec0-84a7-e2fd74c645ec
TM762UOV,60,Leveraging text generation for enhanced user story quality,CA dos Santos,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://constellation.uqac.ca/id/eprint/10176/
10.48550/arXiv.2602.15591,61,Req2Road: A GenAI Pipeline for SDV Test Artifact Generation and On-Vehicle Execution,"D Zyberaj, L Mazur, P Hirmer, N Petrovic… - arXiv preprint arXiv …, 2026",2026.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2602.15591
6WOH27MW,62,Human-LLM Collaborations for Modeling Requirements-Based Testing: An Initial Investigation,A Golla,2026.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://rave.ohiolink.edu/etdc/view?acc_num=ucin1778857143659977
CMGR1MRI,63,Large Language Model (LLM)-Based Automation for Software Test Script Generation,"S Kavuri - Computer Fraud & Security, 2022",2022.0,researchgate.net,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.researchgate.net/profile/Srikanth-Kavuri-2/publication/398737159_Large_Language_Model_LLM-Based_Automation_for_Software_Test_Script_Generation/links/69415b62a1fd01798908575f/Large-Language-Model-LLM-Based-Automation-for-Software-Test-Script-Generation.pdf
QD9OQX0L,64,Large language models for software testing: A research roadmap,"C Augusto, A Bertolino, G De Angelis, F Lonetti… - arXiv preprint arXiv …, 2025",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/pdf/2509.25043
10.48550/arXiv.2605.02455,65,LLM-Assisted Repository-Level Generation with Structured Spec-Driven Engineering,"S Feng, B Chen, BH Meyer, G Mussbacher - arXiv preprint arXiv …, 2026",2026.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2605.02455
OO6WMWNV,66,An empirical evaluation of using large language models for automated unit test generation,"M Schäfer, S Nadi, A Eghbali… - IEEE Transactions on …, 2023",2023.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/10329992/
C96DIK22,67,"Evaluating LLM-Generated Test Scripts, Manual Test Development, and Capture-and-Replay Approaches for Testing XR Applications",SN Modarressi,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ucalgary.scholaris.ca/items/5a3886d3-bb4a-481c-9c50-20973901dd41
XDAQFJJB,68,Automated derivation of uml sequence diagrams from user stories: Unleashing the power of generative ai vs. a rule-based approach,"M Jahan, MM Hassan, R Golpayegani… - Proceedings of the …, 2024",2024.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3640310.3674081
A85273MS,69,Integrating Model-Driven Engineering and Large Language Models for Test Scenario Generation for Smart Contracts,"I Al-Azzoni, S Iqbal, T Al Ashkar, Z Erum - Information, 2025",2025.0,mdpi.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.mdpi.com/2078-2489/17/1/1
