ID,Title,Authors,Year,Venue,Search_String,Link,v1_decision,v1_reason
2B1BDXVP,Automated Test Generation Using LLM Based on BDD: A Comparative Study,"SRR dos Santos, LFC dos Santos, MVS Silva",,scitepress.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.scitepress.org/Papers/2025/136836/136836.pdf,INCLUDE,
DKYZ6WW3,Agentic AI for Behavior-Driven Development Testing Using Large Language Models.,"C Paduraru, M Zavelca, A Stefanescu",2025.0,researchgate.net,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.researchgate.net/profile/Ciprian-Paduraru/publication/389451796_Agentic_AI_for_Behavior-Driven_Development_Testing_Using_Large_Language_Models/links/68610f6a92697d42903bc3bf/Agentic-AI-for-Behavior-Driven-Development-Testing-Using-Large-Language-Models.pdf,INCLUDE,
WO2V9EKU,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,"SB Patel, S Nigam, S Mahale",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11351772/,INCLUDE,
U8AOM2HY,The Role of Machine Learning and Large Language Models in Software Testing and Validation,"Y Hachaïchi, MA Ouerghi",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11364940/,UNSURE,Unclear if focused on Gherkin/BDD generation - needs full text
J8RMZF7E,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,"LI Matveeva, V Kunštár, K Jelemenská",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11277590/,INCLUDE,
ZEBQ5UX3,[CITATION][C] Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,SK Tiwari,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",,EXCLUDE,EC3: [CITATION] tag - no full text available
SN46M5PY,AUGMENTING SOFTWARE TESTING AND AUTOMATION THROUGH BEHAVIOR-DRIVEN DEVELOPMENT (BDD) AND ARTIFICIAL INTELLIGENCE,K Dhir,,researchgate.net,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.researchgate.net/profile/Kunal-Dhir-3/publication/398301951_AUGMENTING_SOFTWARE_TESTING_AND_AUTOMATION_THROUGH_BEHAVIOR-DRIVEN_DEVELOPMENT_BDD_AND_ARTIFICIAL_INTELLIGENCE/links/69308c5b06a9ab54f8439bf2/AUGMENTING-SOFTWARE-TESTING-AND-AUTOMATION-THROUGH-BEHAVIOR-DRIVEN-DEVELOPMENT-BDD-AND-ARTIFICIAL-INTELLIGENCE.pdf,UNSURE,Unclear if peer-reviewed with experimental results
HBHMFIQ6,THESIS/THÈSE,M GALLOY,,pure.unamur.be,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://pure.unamur.be/ws/portalfiles/portal/98848381/2024_GalloyM_Memoire.pdf,EXCLUDE,"EC3: thesis/unclear venue, title too vague"
S2DQOSB9,Guidelines for the adoption of behavior-driven development (BDD): an approach with design science research,SRR Santos,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ri.ufs.br/handle/riufs/22538,EXCLUDE,"EC4: BDD adoption guidelines, not test generation"
10.48550/arXiv.2501.15181,From bugs to benefits: Improving user stories by leveraging crowd knowledge with cruise-ac,"S Schwedt, T Ströder",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2501.15181,EXCLUDE,"EC4: improving user stories, not Gherkin generation"
BDTZH0AX,Guidelines for Adopting Behavior-Driven Development (BDD): A Case Study,"SRR dos Santos, MVS Silva, MCB dos Santos",,scitepress.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.scitepress.org/Papers/2025/136817/136817.pdf,EXCLUDE,"EC4: BDD adoption guidelines, not test generation"
10.48550/arXiv.2510.14509,E2Edev: Benchmarking Large Language Models in End-to-End Software Development Task,"J Liu, C Huang, Z Guan, W Lei, Y Deng",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2510.14509,UNSURE,May contain test generation component - needs full text review
N7SY5JRJ,An Experiment with Focus on Security Through Large-Language Models Using Behavior-Driven Development,"S Santos, T Pimentel, M Silva, L Santos, F Rocha",2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.preprints.org/manuscript/202509.1860/download/final_file,INCLUDE,
3YLFT8Y2,Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments.,FA Almeyda Alania,2025.0,search.ebscohost.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=2158107X&AN=190677643&h=kWPbz51ClNDi4o3UrVz%2BIJwxbe2JFh8HyA%2FpAme%2FSXFC3cjcURY%2FEZCNkXbpd44yc94zl7lfyrPOD%2FVmmHbesQ%3D%3D&crl=c,INCLUDE,
9PN76X3F,LARGE LANGUAGE MODELS IN HIGH-LEVEL SOFTWARE TESTING,T Grönberg,2026.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://trepo.tuni.fi/bitstream/handle/10024/234400/GronbergToni.pdf?sequence=2,UNSURE,May be relevant - needs full text review
MNFTGFJ1,Benchmarking AI-Facilitated UI Test-Script Generation: A Reproducible Evaluation Framework,"A Poth, O Rrjolli, H Wang",2025.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/chapter/10.1007/978-3-032-04288-0_9,EXCLUDE,"EC4: UI test scripts, not Gherkin/BDD generation from user story"
PINM8PJS,Exploring behavior-driven development for code generation,"Y Liang, C Gan, R Ying, Z Cui",2025.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/chapter/10.1007/978-981-95-0014-7_4,EXCLUDE,"EC4: BDD for code generation, not test generation from user story"
CN0B3I6L,"Selfbehave, generating a synthetic behaviour-driven development dataset using self-instruct","M Galloy, M Balfroid, B Vanderose",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/10962479/,INCLUDE,
XXBY8VH2,Augmenting software quality assurance with AI and automation using PyTest-BDD,"X Zhao, H Wang, JQ Ding, Z Hu, Q Tian",2026.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/article/10.1007/s10515-025-00566-w,EXCLUDE,"EC4: test execution/maintenance with PyTest-BDD, not test generation"
S08EFWOI,AutomTest 3.0: An automated test-case generation tool from User Story processing powered with LLMs,"JG Santos, RSP Maciel",2024.0,sol.sbc.org.br,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://sol.sbc.org.br/index.php/sbes/article/view/30424,INCLUDE,
YAX4Z05U,Exploring Behavior-Driven Development,"Y Liang, C Gan, R Ying, Z Cui",2025.0,books.google.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://books.google.com/books?hl=en&lr=&id=N9BzEQAAQBAJ&oi=fnd&pg=PA41&dq=(%22Gherkin%22+OR+%22BDD%22+OR+%22behavior-driven%22)+AND+(%22generation%22+OR+%22automated%22)+AND+(%22LLM%22+OR+%22GPT%22+OR+%22large+language+model%22)+AND+(%22user+story%22+OR+%22acceptance+test%22+OR+%22test+case%22)&ots=DoLsXVxBQd&sig=Nehi4JOuqUr1kGJ02ELWWRFhau8,EXCLUDE,EC3: book chapter duplicate of Springer conference paper
DM6E6UVS,Use of chatgpt as an assistant in the end-to-end test script generation for android apps,"B García, M Leotta, F Ricca, J Whitehead",2024.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3678719.3685691,EXCLUDE,"EC4: E2E test scripts for Android, not Gherkin/BDD from user story"
QRQJLLRJ,"A process-centric review of large language models in graphical user interface testing: architectures, lifecycle impact, and challenges","MP Trong, NT Son, VT Giang, BH Viet, LN Hai",2026.0,peerj.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://peerj.com/articles/cs-3695/,EXCLUDE,"EC4: GUI testing review, not Gherkin/BDD generation"
10.48550/arXiv.2509.05112,GenAI-based test case generation and execution in SDV platform,"D Zyberaj, L Mazur, N Petrovic, P Verma",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2509.05112,EXCLUDE,"EC4: SDV platform specific, not Gherkin from user story"
5SQEPGS1,Utilização de Chat Bots baseados em LLMs para automação de testes de software.,CM Oliveira,2024.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",http://monografias.ufop.br/handle/35400000/6440,EXCLUDE,IC1: not written in English (Portuguese)
29VVJFXC,XTestGen: Natural Language to Maintainable E2E Test Scripts with LLMs,"H Kirinuki, M Tajima",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11186077/,EXCLUDE,"EC4: E2E test scripts, not Gherkin/BDD generation"
9BIVOWYP,"… Testing: Test scenario and case generation with an AI model (gpt-3.5-turbo) using Prompt engineering, Fine-tuning and Retrieval augmented generation …",G Adu,2024.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://erepo.uef.fi/bitstreams/c1d2923d-b984-4f47-8608-084914ed020f/download,UNSURE,Needs further review
WT1B3JG3,Can llms generate user stories and assess their quality?,"G Quattrocchi, L Pasquale, P Spoletini",2026.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11430705/,EXCLUDE,EC4: user story generation (not Gherkin/acceptance test generation)
N8XMG0XP,Improving Software Quality Framework Using Artificial Intelligence Platforms,SM Pendyala,2025.0,igi-global.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.igi-global.com/chapter/improving-software-quality-framework-using-artificial-intelligence-platforms/377674,EXCLUDE,"EC4: general software quality framework, not Gherkin generation"
2XY7P23Z,SELF-INSTRUCT,"M Galloy, M Balfroid, B Vanderose, X Devroey",,xdevroey.be,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://xdevroey.be/publication/balfroid-2025/balfroid-2025.pdf,EXCLUDE,"EC3: unclear venue, title too vague"
10.48550/arXiv.2605.14568,Mining Subscenario Refactoring Opportunities in Behaviour-Driven Software Test Suites: ML Classifiers and LLM-Judge Baselines,"AH Mughal, N Fatima, M Bilal",2026.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2605.14568,EXCLUDE,"EC4: BDD test suite refactoring, not generation"
SNEI53VE,Automated Generation and Refinement of Agile User Stories from Game Design Documents Using Large Language Models,"W Khelifa, B Bouchard, G Imbeau",2026.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3796315.3796330,EXCLUDE,"EC4: user story generation from game design docs, not Gherkin/acceptance test"
R27DL65R,Semantic-Contextual Automation of Scriptless BDD Testing for Intelligent Test Coverage Enhancement,"SS Murugan, M Balamurugan",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11366954/,INCLUDE,
8NMBADCK,Api test case generation by extracting http requests during front-end testing,"YJ Guo, SP Ma, HJ Peng, YS Su",2024.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/10784388/,EXCLUDE,"EC4: API test from HTTP requests, not Gherkin from user story"
IJ4S2XIH,Ai-generated test scripts for web e2e testing with chatgpt and copilot: A preliminary study,"M Leotta, HZ Yousaf, F Ricca, B Garcia",2024.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3661167.3661192,EXCLUDE,"EC4: web E2E test scripts, not Gherkin/BDD from user story"
WVQC9V0A,Evaluasi Teknik Prompting pada Large Language Model untuk Otomatisasi Penyusunan Skenario Unit Testing Smart Contract,"S El Farisi, FA Marva",2026.0,journal.sekawan-org.id,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",http://journal.sekawan-org.id/index.php/jtim/article/view/912,EXCLUDE,IC1: not written in English (Indonesian)
10.48550/arXiv.2507.14969,Think Like an Engineer: A Neuro-Symbolic Collaboration Agent for Generative Software Requirements Elicitation and Self-Review,"S Zhang, Z Xing, J Chen, D Zhao, Z Zhu",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2507.14969,EXCLUDE,"EC4: requirements elicitation, not Gherkin test generation"
8B7I9Z73,Prompt Engineering for Analyzing Acceptance Criteria for Functional Requirements,"L Rutledge, K van der Kruk",2025.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/chapter/10.1007/978-3-031-98033-6_11,UNSURE,Related to acceptance criteria - needs full text review
VUZAGJKL,GUIDE: A Framework for Improving Functional Software Test Descriptions with Language Models,"M Ronzon, T Roger, Z Miklos",2025.0,aclanthology.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://aclanthology.org/2025.icnlsp-1.23.pdf,INCLUDE,
G4ZIU9XA,[CITATION][C] Intelligent automation of test data generation: an LLM agent for populating Inditex's proprietary software environments,G García Pérez,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",,EXCLUDE,EC3: [CITATION] tag - no full text available
DIEW1YRH,Designing a Domain-Specific Language to Address Challenges in Automated Web Testing,"M Widell, P Sadrian",2025.0,lup.lub.lu.se,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://lup.lub.lu.se/luur/download?func=downloadFile&recordOId=9211355&fileOId=9211357,EXCLUDE,"EC4: DSL for web testing, not Gherkin/BDD generation from user story"
ZC8NOTUE,Automated test plan generation using large language models,"S Haldar, LF Capretz",2026.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/article/10.1007/s11219-026-09744-9,UNSURE,May be relevant - needs full text review
TGU0F4TX,Towards a Gherkin-Based Requirement Verification Approach in MBSE,"D Hoffmann, SR Ammana, AJ Dsouza",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11370125/,INCLUDE,
LS2WEDDE,AutoQALLMs: Automating Web Application Testing Using Large Language Models (LLMs) and Selenium,"S Mallipeddi, M Yaqoob, JA Khan, T Mehmood",2025.0,mdpi.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.mdpi.com/2073-431X/14/11/501,EXCLUDE,"EC4: web app testing with Selenium, not Gherkin from user story"
MWYQVR51,An Aggregated Dataset of Agile User Stories and Use Case Taxonomy for AI-Driven Research.,"A Alhaizaey, M Al-Mashari",2025.0,search.ebscohost.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=2158107X&AN=188536289&h=USxid8Sz93YMyeVgldWK4rYnPEyGKLg0%2FuYQ4NBKCfxkZr%2FRHw%2FA2aVjqDQdZcce3AZZOoVtAZa%2BGq4BqJJSPA%3D%3D&crl=c,EXCLUDE,"EC4: dataset paper, not test generation"
B5C4WXT3,Empowering agile-based generative software development through human-ai teamwork,"S Zhang, Z Xing, R Guo, F Xu, L Chen",2025.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3702987,EXCLUDE,"EC4: general agile development, not Gherkin/test generation"
LJKJQYU2,[CITATION][C] Aplicación de IA generativa para el mantenimiento de pruebas automáticas,I Ascó Cholbi,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",,EXCLUDE,EC3: [CITATION] tag - no full text available
BKOAWZ94,Optimizing the creation and maintenance of automated end-to-end tests for web application testing,T Maunu,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://aaltodoc.aalto.fi/items/54cf8f43-d4d8-4ec0-84a7-e2fd74c645ec,EXCLUDE,"EC4: E2E test maintenance, not Gherkin generation from user story"
