id,user_story,gherkin_generated
26,"As a store administrator,
I want to reorder the images of a product,
So that I can control the display sequence of product images in the store.

Acceptance Criteria:
- The administrator can access the image management view for a specific product and modify the position of each existing image.
- The administrator can assign a new position value to each image (small, medium, large) and save the changes.
- After saving, the images should be reordered according to the newly assigned positions, with each image's type correctly reflecting its new position in the list.","@product_management
Feature: Reordering product images

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And the store has a product ""Ubi T-Shirt""
        And this product has an image ""small.jpg"" at the position 0
        And this product has an image ""medium.jpg"" at the position 1
        And this product has an image ""large.jpg"" at the position 2

    @api @ui
    Scenario: Reordering images of a product
        Given I want to modify the ""Ubi T-Shirt"" product
        And I want to manage its images
        When I set the position of ""small.jpg"" image to 2
        And I set the position of ""medium.jpg"" image to 0
        And I set the position of ""large.jpg"" image to 1
        And I save my changes
        Then I should be notified that the changes have been successfully saved
        And I should see the image ""medium.jpg"" at the position 0
        And I should see the image ""large.jpg"" at the position 1
        And I should see the image ""small.jpg"" at the position 2"
27,"As a Customer,
I want to see the lowest price a discounted product was sold at during the previous 30 days,
So that I can evaluate whether the current discount is genuine before making a purchase decision.

Acceptance Criteria:
- When a product has no discount, no lowest-price-before-discount information is displayed.
- When a product is discounted, the lowest price at which it was offered (with or without a prior discount) within the last 30 days is displayed, and this reference price updates correctly as the price and discount history change over time, only considering price points within the rolling 30-day window.
- When a discount is removed and the product returns to its original price, no lowest-price-before-discount information is displayed, unless the price later drops below that original price and a new discount is subsequently applied, in which case the lowest price recorded is shown.
- Catalog promotions are treated the same as manual price changes when determining the lowest price before the discount.
- The lowest-price-before-discount information can be enabled or disabled per sales channel, and when disabled, it is never shown to customers regardless of discount history.","@pricing
Feature: Displaying the lowest price a discounted product was sold at during the previous 30 days

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And the store has a product ""Ubi T-Shirt"" priced at ""$19.99""
        And the channel ""US Web Store"" has the lowest-price-before-discount feature enabled

    @api @ui
    Scenario: Not displaying lowest price information for a product without any discount
        Given the product ""Ubi T-Shirt"" has no discount applied
        When I view the product ""Ubi T-Shirt"" details
        Then I should not see any lowest-price-before-discount information

    @api @ui
    Scenario: Displaying the lowest price from the last 30 days when a product is discounted
        Given the product ""Ubi T-Shirt"" was priced at ""$19.99"" 25 days ago
        And the product ""Ubi T-Shirt"" price dropped to ""$15.99"" 10 days ago
        And the product ""Ubi T-Shirt"" is now discounted to ""$12.99""
        When I view the product ""Ubi T-Shirt"" details
        Then I should see the lowest-price-before-discount information showing ""$15.99""

    @api @ui
    Scenario: Lowest price before discount updates as price history changes within the rolling 30-day window
        Given the product ""Ubi T-Shirt"" was priced at ""$19.99"" 45 days ago
        And the product ""Ubi T-Shirt"" price dropped to ""$9.99"" 35 days ago
        And the product ""Ubi T-Shirt"" price increased to ""$16.99"" 20 days ago
        And the product ""Ubi T-Shirt"" is now discounted to ""$14.99""
        When I view the product ""Ubi T-Shirt"" details
        Then I should see the lowest-price-before-discount information showing ""$16.99""
        And the price of ""$9.99"" from 35 days ago should not be considered because it falls outside the rolling 30-day window

    @api @ui
    Scenario: Not displaying lowest price information after a discount is removed and the product returns to its original price
        Given the product ""Ubi T-Shirt"" was discounted from ""$19.99"" to ""$14.99"" 5 days ago
        And the discount on ""Ubi T-Shirt"" has been removed
        And the product ""Ubi T-Shirt"" price has returned to ""$19.99""
        When I view the product ""Ubi T-Shirt"" details
        Then I should not see any lowest-price-before-discount information

    @api @ui
    Scenario: Displaying the lowest recorded price when a new discount is applied after the price dropped below the original price
        Given the product ""Ubi T-Shirt"" was discounted from ""$19.99"" to ""$14.99"" 20 days ago
        And the discount on ""Ubi T-Shirt"" has been removed
        And the product ""Ubi T-Shirt"" price dropped to ""$12.99"" 10 days ago
        And the product ""Ubi T-Shirt"" is now discounted to ""$9.99""
        When I view the product ""Ubi T-Shirt"" details
        Then I should see the lowest-price-before-discount information showing ""$12.99""

    @api @ui
    Scenario: Treating catalog promotions the same as manual price changes when determining the lowest price before discount
        Given the product ""Ubi T-Shirt"" price was reduced to ""$13.99"" 15 days ago by a catalog promotion
        And the product ""Ubi T-Shirt"" is now discounted to ""$11.99""
        When I view the product ""Ubi T-Shirt"" details
        Then I should see the lowest-price-before-discount information showing ""$13.99""

    @api @ui
    Scenario: Not displaying lowest price information when the feature is disabled for the sales channel
        Given the channel ""US Web Store"" has the lowest-price-before-discount feature disabled
        And the product ""Ubi T-Shirt"" was priced at ""$15.99"" 10 days ago
        And the product ""Ubi T-Shirt"" is now discounted to ""$12.99""
        When I view the product ""Ubi T-Shirt"" details
        Then I should not see any lowest-price-before-discount information"
28,"As a customer,
I want the available shipping methods to be displayed in a specific, predefined order during checkout,
So that I can easily find and select my preferred shipping option based on a consistent and logical arrangement.

Acceptance Criteria:
- Given a store with multiple shipping methods each assigned a specific position, the shipping methods should be displayed in ascending order according to their assigned positions.
- When a logged-in customer adds a product to the cart, provides shipping address details, and proceeds to the shipping step, the shipping method list should reflect the correct sorted order.
- The shipping method with the lowest position value should appear as the first choice, and the one with the highest position value should appear as the last choice.","@checkout
Feature: Displaying shipping methods in a predefined order during checkout

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And the store has a product ""Ubi T-Shirt"" priced at ""$19.99""
        And the store allows paying ""Offline""

    @api @ui
    Scenario: Seeing shipping methods sorted by their ascending position during checkout
        Given the store has ""DHL"" shipping method with ""$5.00"" fee and ""3"" position
        And the store has ""Raven Post"" shipping method with ""$4.00"" fee and ""1"" position
        And the store has ""FedEx"" shipping method with ""$6.00"" fee and ""2"" position
        And I am a logged in customer
        And I added product ""Ubi T-Shirt"" to the cart
        And I addressed the cart
        When I go to the shipping step
        Then I should see ""3"" shipping methods
        And the first shipping method on the list should be ""Raven Post""
        And the second shipping method on the list should be ""FedEx""
        And the third shipping method on the list should be ""DHL"""
29,"As a customer,
I want to view a product's images on the product details page in the correct order,
So that I can see the main product image prominently and browse additional images easily.

Acceptance Criteria:
- When viewing a product details page, the product name should be displayed correctly.
- The main image displayed should be the one designated with the ""main"" type.
- Product images should be displayed as thumbnails in the correct order based on their assigned position, with the ""main"" type image appearing first.
- Additional images (e.g., ""other"" type) should appear as subsequent thumbnails after the main image, in their assigned order.","@products
Feature: Viewing product images in the correct order on the product details page

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And the store has a product ""Ubi T-Shirt"" priced at ""$19.99""

    @api @ui
    Scenario: Viewing the main image prominently and additional images as ordered thumbnails
        Given the product ""Ubi T-Shirt"" has an image ""main.jpg"" with a ""main"" type at position 0
        And the product ""Ubi T-Shirt"" has an image ""other_1.jpg"" with an ""other"" type at position 1
        And the product ""Ubi T-Shirt"" has an image ""other_2.jpg"" with an ""other"" type at position 2
        When I check this product's details
        Then I should see the product name as ""Ubi T-Shirt""
        And I should see the main image as ""main.jpg""
        And I should see 3 thumbnails in total
        And the first thumbnail should be the main image ""main.jpg""
        And the second thumbnail should be ""other_1.jpg""
        And the third thumbnail should be ""other_2.jpg""

    @api @ui
    Scenario: Viewing additional images in the correct order when the main image is not positioned first
        Given the product ""Ubi T-Shirt"" has an image ""other_1.jpg"" with an ""other"" type at position 0
        And the product ""Ubi T-Shirt"" has an image ""main.jpg"" with a ""main"" type at position 1
        And the product ""Ubi T-Shirt"" has an image ""other_2.jpg"" with an ""other"" type at position 2
        When I check this product's details
        Then I should see the product name as ""Ubi T-Shirt""
        And I should see the main image as ""main.jpg""
        And I should see 3 thumbnails in total
        And the first thumbnail should be the main image ""main.jpg""
        And the second thumbnail should be ""other_1.jpg""
        And the third thumbnail should be ""other_2.jpg"""
30,"As a store administrator,
I want the system to validate the data I enter when creating or editing a taxon,
So that I can avoid submitting incomplete, incorrect, or duplicate taxon information that could compromise the store's product categorization.

Acceptance Criteria:
- When attempting to add a translation for a taxon using a locale that is not available in the store, the system should notify the administrator that the locale is not available.
- When attempting to create a new taxon without specifying a code, the system should notify the administrator that the code is required, and the taxon should not be added.
- When attempting to create a new taxon without specifying a name, the system should notify the administrator that the name is required.
- When attempting to create a new taxon with a code that exceeds the maximum allowed length, the system should notify the administrator that the code is too long.
- When attempting to create a new taxon without specifying a slug (via the UI only), the system should notify the administrator that the slug is required.
- When attempting to create a new taxon with a slug that is already used by another taxon, the system should notify the administrator that the taxon slug must be unique.","@management
Feature: Taxon data validation

    In order to avoid submitting incomplete, incorrect, or duplicate taxon information
    As an Administrator
    I want to be notified when the data I provide while creating or editing a taxon is invalid

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has disabled the ""Deutsch"" locale
        And the store has a taxon ""Category""

    @api
    Scenario: Trying to add a taxon translation in a locale that is not available in the store
        Given I want to create a new taxon
        When I specify its code as ""T_SHIRTS""
        And I try to add its translation ""T-Shirts"" for ""Deutsch"" locale
        Then I should be notified that this translation's locale is not available

    @api @ui
    Scenario: Trying to create a taxon without specifying a code
        Given I want to create a new taxon
        When I specify its name as ""T-Shirts"" in ""English (United States)""
        And I try to add it
        Then I should be notified that the code is required
        And this taxon should not be added

    @api @ui
    Scenario: Trying to create a taxon without specifying a name
        Given I want to create a new taxon
        When I specify its code as ""T_SHIRTS""
        And I do not specify its name
        And I try to add it
        Then I should be notified that the name is required

    @api @ui
    Scenario: Trying to create a taxon with a code that is too long
        Given I want to create a new taxon
        When I specify its code as ""TSHIRTSTSHIRTSTSHIRTSTSHIRTSTSHIRTSTSHIRTSTSHIRTSTSHIRTSTSHIRTSTSHIRTSTSHIRTSTSHIRTS""
        And I specify its name as ""T-Shirts"" in ""English (United States)""
        And I try to add it
        Then I should be notified that the code is too long

    @ui
    Scenario: Trying to create a taxon without specifying a slug
        Given I want to create a new taxon
        When I specify its code as ""T_SHIRTS""
        And I specify its name as ""T-Shirts"" in ""English (United States)""
        And I do not specify its slug
        And I try to add it
        Then I should be notified that the slug is required

    @api @ui
    Scenario: Trying to create a taxon with a slug that is already used by another taxon
        Given I want to create a new taxon
        When I specify its code as ""T_SHIRTS""
        And I specify its name as ""T-Shirts"" in ""English (United States)""
        And I specify its slug as ""category"" in ""English (United States)""
        And I try to add it
        Then I should be notified that the taxon slug must be unique"
31,"As an administrator,
I want to delete a product association type from the store,
So that I can keep the registry of association types clean and free of unused or unnecessary entries.

Acceptance Criteria:
- The administrator must be logged in to perform the deletion.
- Upon deleting an existing product association type (e.g., ""Cross sell""), the system displays a confirmation notification that the deletion was successful.
- After deletion, the product association type no longer exists in the registry.","@managing_product_association_types
Feature: Deleting a product association type

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And I am logged in as an administrator
        And the store has a product association type ""Cross sell""

    @api @ui
    Scenario: Deleting a product association type
        Given I want to browse product association types
        When I delete the ""Cross sell"" product association type
        Then I should be notified that it has been successfully deleted
        And this product association type should no longer exist in the registry"
32,"As a Store Administrator,
I want to browse the list of customer groups configured in the store,
So that I can view and verify all existing customer groups at a glance.

Acceptance Criteria:
- Given the store has customer groups ""Retail"" and ""Wholesale"" already created, when I access the customer group browsing page, the system should display a list containing 2 customer groups.
- The displayed list should correctly include the customer group named ""Retail"".
- Only an authenticated administrator should be able to access and browse the customer group list.","@customer_groups
Feature: Browsing customer groups

    Background:
        Given I am logged in as an administrator

    @api @ui
    Scenario: Browsing customer groups
        Given the store has customer groups ""Retail"" and ""Wholesale""
        When I browse customer groups
        Then I should see 2 customer groups on the list
        And I should see the customer group ""Retail"" in the list"
33,"As a customer,
I want the checkout process to automatically skip the shipping step when my order does not contain any items requiring shipping,
So that I can complete my purchase faster without going through an unnecessary shipping selection step.

Acceptance Criteria:
- When all items in the cart do not require shipping (e.g., digital products like ebooks), after completing the addressing step, the customer should be redirected directly to the payment step, bypassing the shipping step.
- When at least one item in the cart requires shipping (e.g., a physical book), after completing the addressing step, the customer should be redirected to the shipping step as usual.
- The determination of whether shipping is required should be based on the shipping requirements of each individual product variant in the cart.","@checkout
Feature: Skipping the shipping step during checkout for orders that do not require shipping

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And the store has a product ""Ebook Of The Dead"" priced at ""$9.99""
        And this product does not require shipping
        And the store has a product ""Ubi T-Shirt"" priced at ""$19.99""
        And the store has ""Raven Post"" shipping method with ""$4.00"" fee
        And the store allows paying ""Offline""

    @api @ui
    Scenario: Being redirected to the payment step after addressing when the cart contains only items that do not require shipping
        Given I added product ""Ebook Of The Dead"" to the cart
        When I address the cart
        Then I should be redirected to the payment step
        And I should not see the shipping step

    @api @ui
    Scenario: Being redirected to the shipping step after addressing when the cart contains at least one item that requires shipping
        Given I added product ""Ubi T-Shirt"" to the cart
        And I added product ""Ebook Of The Dead"" to the cart
        When I address the cart
        Then I should be redirected to the shipping step

    @api @ui
    Scenario: Being redirected to the shipping step after addressing when the cart contains only items that require shipping
        Given I added product ""Ubi T-Shirt"" to the cart
        When I address the cart
        Then I should be redirected to the shipping step"
34,"As a store administrator,
I want to remove a product variant's price from a specific channel,
So that I can manage pricing configurations for channels where the product is disabled or no longer relevant, while retaining the original price for reference.

Acceptance Criteria:
- The administrator should be able to remove a configured price for a product variant on a specific channel, even if the product is disabled on that channel.
- After removing the price, the product variant should no longer have a configured price for that channel.
- The original price for the product variant on that channel should remain unchanged and still be displayed.
- This behavior should be consistent whether the channel itself is enabled or disabled.","@channels
Feature: Removing a product variant's price from a channel

    Background:
        Given the store operates on a channel named ""United States""
        And the store operates on a channel named ""Poland""
        And the store has a product ""T-Shirt Ravencrest"" with variant ""T-Shirt Ravencrest""
        And this variant is priced at ""$19.99"" for ""United States"" channel
        And this variant is priced at ""€24.99"" for ""Poland"" channel

    @api @ui
    Scenario: Removing a variant's price from a channel where the product has been disabled
        Given the product ""T-Shirt Ravencrest"" is disabled for ""Poland"" channel
        When I remove the price for this product variant on ""Poland"" channel
        Then the product variant ""T-Shirt Ravencrest"" should not have a configured price for ""Poland"" channel
        And this variant's price for ""Poland"" channel should still be shown as ""€24.99""
        And this variant should still be priced at ""$19.99"" for ""United States"" channel

    @api @ui
    Scenario: Removing a variant's price from a disabled channel
        Given the ""Poland"" channel has been disabled
        When I remove the price for this product variant on ""Poland"" channel
        Then the product variant ""T-Shirt Ravencrest"" should not have a configured price for ""Poland"" channel
        And this variant's price for ""Poland"" channel should still be shown as ""€24.99""
        And this variant should still be priced at ""$19.99"" for ""United States"" channel

    @api @ui
    Scenario: Removing a variant's price from an enabled channel for an enabled product
        When I remove the price for this product variant on ""Poland"" channel
        Then the product variant ""T-Shirt Ravencrest"" should not have a configured price for ""Poland"" channel
        And this variant's price for ""Poland"" channel should still be shown as ""€24.99""
        And this variant should still be priced at ""$19.99"" for ""United States"" channel"
35,"As a Finance/Accounting Officer,
I want the system to generate correct General Ledger journal entries whenever a Credit Balance Refund (CBR) is processed on an overpaid Working Capital loan,
So that overpayment liabilities are accurately debited and cleared through the appropriate suspense/clearing account, ensuring the accounting records remain accurate regardless of refund amount, frequency, or timing.

Acceptance Criteria:
- When a partial credit balance refund is processed on an overpaid Working Capital loan, the loan status must remain ""OVERPAID"" and generate a journal entry debiting the ""Other Credit Liability"" account and crediting the ""Suspense/Clearing"" account for the refunded amount.
- When a credit balance refund fully settles the overpaid amount, the loan status must transition to ""CLOSED_OBLIGATIONS_MET"" and the corresponding journal entries must be recorded accurately.
- The system must support multiple credit balance refunds on the same day or across different days, correctly reducing the overpayment balance each time and generating a separate, accurate set of journal entries for each refund transaction, including cases where payment details (such as payment type, account number, check number, routing code, receipt number, and bank number) are provided.","@WorkingCapital
@WorkingCapitalCBRAccountingEntries
Feature: Working Capital Loan Credit Balance Refund Accounting Entries

  @TestRailId:C85182
  Scenario: Verify CBR GL entries - UC01: partial refund keeps OVERPAID
    When Admin sets the business date to ""01 January 2026""
    And Admin creates a client with random data
    And Admin creates a working capital loan with the following data:
      | LoanProduct                | submittedOnDate | expectedDisbursementDate | principalAmount | totalPaymentVolume | periodPaymentRate | discount |
      | WCLP_ACCOUNTING_CASH_BASED | 01 January 2026 | 01 January 2026          | 9000            | 100000             | 18                 | 0        |
    And Admin successfully approves the working capital loan on ""01 January 2026"" with ""9000"" amount and expected disbursement date on ""01 January 2026""
    And Admin successfully disburse the Working Capital loan on ""01 January 2026"" with ""9000"" EUR transaction amount
    When Admin sets the business date to ""02 January 2026""
    And Customer makes repayment on ""02 January 2026"" with 9100.0 transaction amount on Working Capital loan
    Then Working Capital loan status will be ""OVERPAID""
    When Admin sets the business date to ""03 January 2026""
    And Customer makes credit balance refund on ""03 January 2026"" with 50.0 transaction amount on Working Capital loan
    Then Working Capital loan status will be ""OVERPAID""
    And Working Capital Loan Transactions tab has a ""CREDIT_BALANCE_REFUND"" transaction with date ""03 January 2026"" which has the following Journal entries:
      | Type      | Account code | Account name              | Debit | Credit |
      | LIABILITY | 245000       | Other Credit Liability    | 50.0  |        |
      | LIABILITY | 145023       | Suspense/Clearing account |       | 50.0   |

  @TestRailId:C85183
  Scenario: Verify CBR GL entries - UC02: full refund closes loan
    When Admin sets the business date to ""01 January 2026""
    And Admin creates a client with random data
    And Admin creates a working capital loan with the following data:
      | LoanProduct                | submittedOnDate | expectedDisbursementDate | principalAmount | totalPaymentVolume | periodPaymentRate | discount |
      | WCLP_ACCOUNTING_CASH_BASED | 01 January 2026 | 01 January 2026          | 9000            | 100000             | 18                 | 0        |
    And Admin successfully approves the working capital loan on ""01 January 2026"" with ""9000"" amount and expected disbursement date on ""01 January 2026""
    And Admin successfully disburse the Working Capital loan on ""01 January 2026"" with ""9000"" EUR transaction amount
    When Admin sets the business date to ""02 January 2026""
    And Customer makes repayment on ""02 January 2026"" with 9050.0 transaction amount on Working Capital loan
    Then Working Capital loan status will be ""OVERPAID""
    When Admin sets the business date to ""03 January 2026""
    And Customer makes credit balance refund on ""03 January 2026"" with 50.0 transaction amount on Working Capital loan
    Then Working Capital loan status will be ""CLOSED_OBLIGATIONS_MET""
    And Working Capital Loan Transactions tab has a ""CREDIT_BALANCE_REFUND"" transaction with date ""03 January 2026"" which has the following Journal entries:
      | Type      | Account code | Account name              | Debit | Credit |
      | LIABILITY | 245000       | Other Credit Liability    | 50.0  |        |
      | LIABILITY | 145023       | Suspense/Clearing account |       | 50.0   |

  @TestRailId:C85184
  Scenario: Verify CBR GL entries - UC03: multiple refunds same day
    When Admin sets the business date to ""01 January 2026""
    And Admin creates a client with random data
    And Admin creates a working capital loan with the following data:
      | LoanProduct                | submittedOnDate | expectedDisbursementDate | principalAmount | totalPaymentVolume | periodPaymentRate | discount |
      | WCLP_ACCOUNTING_CASH_BASED | 01 January 2026 | 01 January 2026          | 9000            | 100000             | 18                 | 0        |
    And Admin successfully approves the working capital loan on ""01 January 2026"" with ""9000"" amount and expected disbursement date on ""01 January 2026""
    And Admin successfully disburse the Working Capital loan on ""01 January 2026"" with ""9000"" EUR transaction amount
    When Admin sets the business date to ""02 January 2026""
    And Customer makes repayment on ""02 January 2026"" with 9200.0 transaction amount on Working Capital loan
    Then Working Capital loan status will be ""OVERPAID""
    When Admin sets the business date to ""03 January 2026""
    And Customer makes credit balance refund on ""03 January 2026"" with 40.0 transaction amount on Working Capital loan
    And Customer makes credit balance refund on ""03 January 2026"" with 60.0 transaction amount on Working Capital loan
    Then Working Capital loan status will be ""OVERPAID""
    And Working Capital Loan Transactions tab has 2 ""CREDIT_BALANCE_REFUND"" transactions with date ""03 January 2026"" which have the following Journal entries:
      | Type      | Account code | Account name              | Debit | Credit |
      | LIABILITY | 245000       | Other Credit Liability    |"
36,"As a Bank Administrator,
I want to create, view, update, and delete Working Capital Near Breach configurations with proper validation on their fields (name, frequency, frequency type, and threshold),
So that I can accurately manage and enforce early-warning thresholds for working capital loans before they reach an actual breach, while preventing invalid, duplicate, or unsafe configuration changes.

Acceptance Criteria:
- The system shall allow an Admin to create a new Working Capital Near Breach configuration by providing valid values for name, frequency, frequency type, and threshold, and shall persist and correctly return these values upon creation, update, and deletion.
- The system shall reject creation or update of a Near Breach configuration when mandatory fields (nearBreachName, nearBreachFrequency, nearBreachFrequencyType, nearBreachThreshold) are null or empty, returning a clear mandatory-field error message.
- The system shall reject creation or update when nearBreachFrequency is not greater than 0, returning an appropriate validation error.
- The system shall reject creation or update when nearBreachFrequencyType is not one of the allowed values (DAYS, WEEKS, MONTHS, YEARS), returning an appropriate validation error.
- The system shall reject creation or update when nearBreachThreshold is not greater than 0 or exceeds 100, returning an appropriate validation error.
- The system shall prevent creating or updating a Near Breach configuration with a name that already exists, returning a duplicate-name error.
- The system shall prevent deleting a Near Breach configuration that has already been deleted, returning an appropriate error, and shall also prevent retrieval of such a deleted configuration.
- The system shall reject deletion or retrieval requests referencing a Near Breach configuration ID that does not exist or is invalid (e.g., 0 or an unassigned ID), returning a not-found error.
- The system shall prevent deletion of a Near Breach configuration that is still assigned to an active Working Capital Loan Product or a Working Capital Loan Account, returning an appropriate assignment error.","@WorkingCapital
@WorkingCapitalNearBreach
Feature: Working Capital Near Breach Configuration

  @TestRailId:C85200
  Scenario: Successfully create a Working Capital Near Breach configuration with valid data
    When Admin creates a Working Capital Near Breach configuration with the following data:
      | nearBreachName | nearBreachFrequency | nearBreachFrequencyType | nearBreachThreshold |
      | NB_CONFIG_01   | 5                    | DAYS                    | 80                  |
    Then Working Capital Near Breach configuration is successfully created with the following data:
      | nearBreachName | nearBreachFrequency | nearBreachFrequencyType | nearBreachThreshold |
      | NB_CONFIG_01   | 5                    | DAYS                    | 80                  |

  @TestRailId:C85201
  Scenario: Successfully retrieve a Working Capital Near Breach configuration after creation
    When Admin creates a Working Capital Near Breach configuration with the following data:
      | nearBreachName | nearBreachFrequency | nearBreachFrequencyType | nearBreachThreshold |
      | NB_CONFIG_02   | 3                    | WEEKS                   | 90                  |
    And Admin retrieves the Working Capital Near Breach configuration ""NB_CONFIG_02""
    Then Working Capital Near Breach configuration ""NB_CONFIG_02"" has the following data:
      | nearBreachName | nearBreachFrequency | nearBreachFrequencyType | nearBreachThreshold |
      | NB_CONFIG_02   | 3                    | WEEKS                   | 90                  |

  @TestRailId:C85202
  Scenario: Successfully update a Working Capital Near Breach configuration with valid data
    When Admin creates a Working Capital Near Breach configuration with the following data:
      | nearBreachName | nearBreachFrequency | nearBreachFrequencyType | nearBreachThreshold |
      | NB_CONFIG_03   | 2                    | MONTHS                  | 70                  |
    And Admin updates the Working Capital Near Breach configuration ""NB_CONFIG_03"" with the following data:
      | nearBreachName   | nearBreachFrequency | nearBreachFrequencyType | nearBreachThreshold |
      | NB_CONFIG_03_UPD | 4                    | YEARS                   | 95                  |
    Then Working Capital Near Breach configuration is successfully updated with the following data:
      | nearBreachName   | nearBreachFrequency | nearBreachFrequencyType | nearBreachThreshold |
      | NB_CONFIG_03_UPD | 4                    | YEARS                   | 95                  |

  @TestRailId:C85203
  Scenario: Successfully delete a Working Capital Near Breach configuration
    When Admin creates a Working Capital Near Breach configuration with the following data:
      | nearBreachName | nearBreachFrequency | nearBreachFrequencyType | nearBreachThreshold |
      | NB_CONFIG_04   | 1                    | DAYS                    | 50                  |
    And Admin deletes the Working Capital Near Breach configuration ""NB_CONFIG_04""
    Then Working Capital Near Breach configuration ""NB_CONFIG_04"" is successfully deleted

  @TestRailId:C85204
  Scenario Outline: Reject creation of a Working Capital Near Breach configuration when a mandatory field is missing
    When Admin creates a Working Capital Near Breach configuration with the following data:
      | nearBreachName   | nearBreachFrequency   | nearBreachFrequencyType   | nearBreachThreshold   |
      | <nearBreachName> | <nearBreachFrequency> | <nearBreachFrequencyType> | <nearBreachThreshold> |
    Then Working Capital Near Breach configuration creation fails with error message ""<errorMessage>""

    Examples:
      | nearBreachName | nearBreachFrequency | nearBreachFrequencyType | nearBreachThreshold | errorMessage                              |
      |                | 5                    | DAYS                    | 80                   | nearBreachName is mandatory                |
      | NB_CONFIG_05   |                      | DAYS                    | 80                   | nearBreachFrequency is mandatory           |
      | NB_CONFIG_05   | 5                    |                         | 80                   | nearBreachFrequencyType is mandatory       |
      | NB_CONFIG_05   | 5                    | DAYS                    |                      | nearBreachThreshold is mandatory           |

  @TestRailId:C85205
  Scenario Outline: Reject creation of a Working Capital Near Breach configuration when nearBreachFrequency is not greater than 0
    When Admin creates a Working Capital Near Breach configuration with the following data:
      | nearBreachName | nearBreachFrequency   | nearBreachFrequenc"
37,"As a system administrator,
I want the Close of Business (COB) job to automatically process loans and keep the last closed business date accurate for each loan,
So that loan statuses, delinquency classifications, and locking mechanisms remain consistent and up to date without manual intervention.

Acceptance Criteria:
- After the COB job runs, each active loan's ""last closed business date"" must be updated to reflect one day behind the current business date, and this must not change for loans already CLOSED or OVERPAID.
- When the business date advances by multiple days, running ""COB catch up"" must process each missed day sequentially until the loan's last closed business date reaches one day behind the current business date.
- The COB job must correctly calculate and update the loan's delinquency range and delinquency date based on the configured arrears tolerance/settings on the loan product, and must maintain an accurate delinquency history (added/lifted dates) as the loan moves in and out of delinquency ranges.
- If a payment is made on a loan whose last closed business date is behind the current business date, an inline COB run must be triggered automatically before the repayment is processed, so the loan's last closed business date is brought up to date first.
- The COB job must correctly manage loan locks: locks with an error message must remain in place (blocking further processing), while orphaned locks without an error message must be automatically removed once the loan has already been processed for that COB date; locks with a null COB date or a COB date that doesn't match the loan's last closed business date must always be preserved.
- After a successful COB run, no unreleased/orphaned locks should remain on the loan account, and when multiple loans are processed in the same COB run, only the orphaned locks (without errors) should be removed while locks carrying error messages remain intact for their respective loans.","@COB
@CloseOfBusinessJob
Feature: Close of Business (COB) Job Processing

  @TestRailId:C85300
  Scenario: COB job updates last closed business date for an active loan
    When Admin sets the business date to ""01 January 2026""
    And Admin creates a client with random data
    And Admin creates a loan with the following data:
      | LoanProduct    | submittedOnDate | expectedDisbursementDate | principalAmount |
      | LP1_INTEREST_FLAT | 01 January 2026 | 01 January 2026       | 1000             |
    And Admin successfully approves the loan on ""01 January 2026"" with ""1000"" amount and expected disbursement date on ""01 January 2026""
    And Admin successfully disburses the loan on ""01 January 2026"" with ""1000"" EUR transaction amount
    When Admin sets the business date to ""02 January 2026""
    And Admin runs COB job
    Then Loan status will be ""ACTIVE""
    And Loan ""last closed business date"" is ""01 January 2026""

  @TestRailId:C85301
  Scenario: COB job does not change last closed business date for a CLOSED loan
    When Admin sets the business date to ""01 January 2026""
    And Admin creates a client with random data
    And Admin creates a loan with the following data:
      | LoanProduct    | submittedOnDate | expectedDisbursementDate | principalAmount |
      | LP1_INTEREST_FLAT | 01 January 2026 | 01 January 2026       | 1000             |
    And Admin successfully approves the loan on ""01 January 2026"" with ""1000"" amount and expected disbursement date on ""01 January 2026""
    And Admin successfully disburses the loan on ""01 January 2026"" with ""1000"" EUR transaction amount
    When Admin sets the business date to ""02 January 2026""
    And Customer makes repayment on ""02 January 2026"" with 1000.0 transaction amount on loan
    Then Loan status will be ""CLOSED_OBLIGATIONS_MET""
    And Loan ""last closed business date"" is ""01 January 2026""
    When Admin sets the business date to ""03 January 2026""
    And Admin runs COB job
    Then Loan status will be ""CLOSED_OBLIGATIONS_MET""
    And Loan ""last closed business date"" is ""01 January 2026""

  @TestRailId:C85302
  Scenario: COB job does not change last closed business date for an OVERPAID loan
    When Admin sets the business date to ""01 January 2026""
    And Admin creates a client with random data
    And Admin creates a loan with the following data:
      | LoanProduct    | submittedOnDate | expectedDisbursementDate |"
