id,user_story,generated_gherkin
11,"As a guest visitor,
I want to leave a review with a rating and comment for a product,
So that I can share my feedback and experience about the product with other potential customers.

Acceptance Criteria:
- A guest must be able to select a product and initiate the review process by providing their email address, a title, a comment, and a rating.
- Upon submission, the guest must receive a notification confirming that their review has been received and is pending acceptance.
- Newly submitted reviews from guests must not be immediately visible to other customers until they have been approved.","@product_reviews
Feature: Leaving a review for a product as a guest visitor

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a product ""PHP T-Shirt"" priced at ""$12.00""

    @ui
    Scenario: Leaving a product review as a guest visitor
        When I view the product ""PHP T-Shirt""
        And I leave a review with email ""guest@example.com"", title ""Great product"", comment ""I really like the quality"", and rating 5
        Then I should be informed that my review has been received and is pending acceptance

    @ui
    Scenario: Guest reviews are not visible before approval
        Given the guest left a review with email ""guest@example.com"", title ""Great product"", comment ""I really like the quality"", and rating 5 for product ""PHP T-Shirt""
        When I view the product ""PHP T-Shirt""
        Then I should not see the review from ""guest@example.com"""
12,"As a Store Administrator,
I want catalog promotions to be applied to products in descending order of their priority,
So that customers see accurate final discounted prices when multiple promotions overlap on the same product.

Acceptance Criteria:
- When multiple catalog promotions apply to the same product variant, they must be applied sequentially starting from the highest priority value to the lowest.
- Each promotion (whether a percentage discount or a fixed amount discount) must be calculated based on the price resulting from the previously applied promotion, not the original price.
- The product page must display the original price, the final discounted price, and the names of all applied promotions in the order they were processed.","@catalog_promotions
Feature: Applying catalog promotions in descending order of priority

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a product ""PHP T-Shirt"" priced at ""$100.00""
        And the product ""PHP T-Shirt"" has a variant ""PHP T-Shirt - Medium""
        And the catalog promotion ""10% off"" applies a 10% discount to the product ""PHP T-Shirt"" with priority 20
        And the catalog promotion ""$15 off"" applies a ""$15.00"" discount to the product ""PHP T-Shirt"" with priority 10
        And I am browsing the store

    @ui
    Scenario: Seeing catalog promotions applied sequentially by priority on a product page
        When I view the product ""PHP T-Shirt""
        Then I should see that the original price is ""$100.00""
        And I should see that the final discounted price is ""$75.00""
        And I should see that the applied promotions are ""10% off"" and ""$15 off"" in this order"
13,"As a customer,
I want the cart page to prevent any modifications (clearing, removing items, or changing quantities) once my order has already been completed in the background,
So that I cannot accidentally mutate or corrupt a completed order by interacting with a stale, outdated cart page.

Acceptance Criteria:
- If a customer attempts to clear the cart from a stale cart page (i.e., the order was completed in the background without reloading), the completed order must remain intact in the database and its checkout state must remain ""completed"".
- If a customer attempts to remove an item from the cart on a stale page after the order has been completed, the completed order must still exist and must still contain its original item(s), unaffected by the removal action.
- If a customer attempts to increase the quantity of an item in the cart on a stale page after the order has been completed, the completed order must still exist and the item quantity must remain unchanged from its original value.
- These protections must apply regardless of whether the page was reloaded, ensuring stale client-side state cannot desynchronize from the actual server-side order status.","@managing_orders
Feature: Preventing modifications on a stale cart page after checkout completion

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a product ""PHP T-Shirt"" priced at ""$12.00""
        And the customer added product ""PHP T-Shirt"" to the cart
        And the customer completed the checkout
        And I am on the cart page

    @ui
    Scenario: Being unable to clear a cart from a stale page after the order has been completed
        When I try to clear the cart
        Then the order should still exist
        And the order checkout state should be ""completed""

    @ui
    Scenario: Being unable to remove an item from a stale page after the order has been completed
        When I try to remove product ""PHP T-Shirt"" from the cart
        Then the order should still exist
        And the order should still contain product ""PHP T-Shirt""

    @ui
    Scenario: Being unable to change the quantity of an item from a stale page after the order has been completed
        When I try to increase quantity of product ""PHP T-Shirt"" in the cart
        Then the order should still exist
        And the quantity of product ""PHP T-Shirt"" should remain unchanged

    @ui
    Scenario: Being unable to modify a cart after reloading a page when the order has already been completed
        When I reload the page
        And I try to clear the cart
        Then the order should still exist
        And the order checkout state should be ""completed"""
14,"As an Administrator,
I want to browse and view the list of customer orders in the store,
So that I can monitor and manage incoming orders efficiently.

Acceptance Criteria:
- The administrator must be logged in to access the orders list.
- When an order is placed by a customer, it should appear in the orders list.
- The orders list should display the correct customer information associated with each order.","@managing_orders
Feature: Browsing and viewing the list of customer orders

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a product ""PHP T-Shirt"" priced at ""$12.00""
        And the customer added product ""PHP T-Shirt"" to the cart
        And the customer placed this order
        And I am logged in as an administrator

    @api @ui
    Scenario: Browsing the list of customer orders
        When I browse orders
        Then I should see the order placed by the customer

    @api @ui
    Scenario: Viewing customer information in the orders list
        When I browse orders
        Then I should see the customer's information associated with the order"
15,"As a customer,
I want to provide only a shipping address during checkout when the store's channel requires solely the shipping address,
So that I can complete the addressing step quickly without entering redundant billing information.

Acceptance Criteria:
- The checkout addressing step must accept a shipping address containing city, street, postcode, country, and recipient name.
- When the channel is configured to require only the shipping address, the system should not demand a separate billing address to proceed.
- After successfully submitting the required shipping address, the customer should be automatically progressed to the checkout shipping step.","@checkout
Feature: Completing checkout addressing with only a shipping address

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a product ""PHP T-Shirt"" priced at ""$12.00""
        And the customer added product ""PHP T-Shirt"" to the cart
        And the channel requires only the shipping address

    @ui
    Scenario: Providing only a shipping address during checkout
        When I proceed with checkout addressing using shipping address ""Myrtle Street 12, 12345, New York, United States"" for ""John Doe""
        Then I should not be asked to provide a billing address
        And I should be redirected to the checkout shipping step"
16,"As a store administrator,
I want to create new administrator accounts with email, name, password, and locale settings,
So that I can grant additional users access to manage the store.

Acceptance Criteria:
- An administrator can create a new administrator account by specifying an email, name, password, and locale, and upon adding it, a success notification should be displayed and the new administrator should appear in the store's list of administrators.
- An administrator can create a new administrator account, enable it during creation, and the newly created administrator should be able to log in successfully using the specified email and password credentials.
- The system must support creating administrator accounts within a single-channel store setup, such as one operating in ""United States"".","@managing_administrators
Feature: Creating administrator accounts

    Background:
        Given the store operates on a single channel in ""United States""
        And I am logged in as an administrator

    @ui
    Scenario: Creating a new administrator account
        When I want to create a new administrator account
        And I specify email ""new-admin@example.com""
        And I specify name ""New Administrator""
        And I specify password ""sylius123""
        And I specify locale ""English (United States)""
        And I add it
        Then I should be notified that it has been successfully created
        And the administrator ""New Administrator"" should appear in the store's list of administrators

    @ui
    Scenario: Creating an enabled administrator account
        When I want to create a new administrator account
        And I specify email ""enabled-admin@example.com""
        And I specify name ""Enabled Administrator""
        And I specify password ""sylius123""
        And I specify locale ""English (United States)""
        And I enable it
        And I add it
        Then I should be notified that it has been successfully created
        When I log out
        And I log in as ""enabled-admin@example.com"" with password ""sylius123""
        Then I should be logged in successfully"
17,"As a store administrator,
I want to create a new sales channel with complete shop billing data (company, tax ID, and billing address),
So that I can properly configure and manage a new channel for a specific market with accurate billing and legal information.

Acceptance Criteria:
- The administrator must be able to specify a unique code and name for the new channel
- The administrator must be able to select a base currency, an available locale, and a default locale for the channel
- The administrator must be able to select a tax calculation strategy for the channel
- The administrator must be able to provide shop billing data, including company name, tax ID, and billing address (street, postcode, city, and country)
- Upon successful creation, the system should display a confirmation notification to the administrator
- The newly created channel should appear in the channel registry with the specified name","@managing_channels
Feature: Creating a new sales channel with complete shop billing data

    Background:
        Given I am logged in as an administrator

    @ui
    Scenario: Creating a new sales channel with complete shop billing data
        When I create a new channel ""United States"" with code ""us"" and base currency ""USD""
        And I specify locale ""en_US"" as available and default
        And I select tax calculation strategy ""order_items_based""
        And I provide shop billing data with company name ""Sylius Ltd."", tax ID ""US123456789"", street ""123 Main Street"", postcode ""10001"", city ""New York"", and country ""United States""
        Then I should be notified that the channel has been created
        And the channel ""United States"" should appear in the channel registry"
18,"As an administrator,
I want to create new sales channels with essential and additional configuration details,
So that I can manage distinct storefronts with tailored currencies, locales, tax strategies, and checkout behaviors.

Acceptance Criteria:
- The administrator must be able to create a new channel by specifying a code, name, base currency, available locale, default locale, and tax calculation strategy, and upon successful creation, receive a confirmation notification with the new channel appearing in the registry.
- The administrator must be able to optionally provide additional details when creating a channel, including a description, hostname, contact email, contact phone number, color, and a selection of operating countries.
- The administrator must be able to configure checkout behavior options, such as allowing the shipping step to be skipped when only one shipping method is available and allowing the payment step to be skipped when only one payment method is available.
- The system must confirm successful creation of the channel and display it in the channel registry regardless of whether only mandatory fields or both mandatory and optional fields were provided.","@managing_channels
Feature: Creating new sales channels

    Background:
        Given I am logged in as an administrator

    @ui
    Scenario: Creating a new channel with mandatory details
        When I create a new channel with code ""WEB"", name ""Web Store"", base currency ""USD"", available locale ""en_US"", default locale ""en_US"", and tax calculation strategy ""order_items_based""
        Then I should be notified that the channel has been created
        And I should see the channel ""Web Store"" in the registry

    @ui
    Scenario: Creating a new channel with additional configuration details
        When I create a new channel with code ""B2B"", name ""Business Store"", base currency ""EUR"", available locale ""en_US"", default locale ""en_US"", and tax calculation strategy ""order_items_based""
        And I add description ""Wholesale storefront"", hostname ""b2b.example.com"", contact email ""contact@b2b.example.com"", contact phone number ""+1 555 0100"", color ""#336699"", and operating countries ""United States"" and ""Germany""
        Then I should be notified that the channel has been created
        And I should see the channel ""Business Store"" in the registry

    @ui
    Scenario: Creating a new channel with checkout behavior options
        When I create a new channel with code ""FAST"", name ""Fast Checkout Store"", base currency ""USD"", available locale ""en_US"", default locale ""en_US"", and tax calculation strategy ""order_items_based""
        And I allow the shipping step to be skipped when only one shipping method is available
        And I allow the payment step to be skipped when only one payment method is available
        Then I should be notified that the channel has been created
        And I should see the channel ""Fast Checkout Store"" in the registry

    @ui
    Scenario: Creating a new channel with mandatory and optional details
        When I create a new channel with code ""PREMIUM"", name ""Premium Store"", base currency ""USD"", available locale ""en_US"", default locale ""en_US"", and tax calculation strategy ""order_items_based""
        And I add description ""Premium shopping experience"", hostname ""premium.example.com"", contact email ""support@premium.example.com"", contact phone number ""+1 555 0200"", color ""#AA5500"", and operating countries ""United States""
        And I allow the shipping step to be skipped when only one shipping method is available
        And I allow the payment step to be skipped when only one payment method is available
        Then I should be notified that the channel has been created
        And I should see the channel ""Premium Store"" in the registry"
19,"As a store administrator,
I want to be prevented from finalizing an order's payment when a purchased item has become tracked in inventory after the order was placed and does not have sufficient stock,
So that I avoid confirming payments for orders that cannot actually be fulfilled due to stock shortages.

Acceptance Criteria:
- When viewing an order summary for a previously placed order, if a product within that order becomes stock-tracked after purchase with fewer available units than the quantity ordered, attempting to mark the order as paid must be blocked.
- The administrator must be notified that the payment could not be finalized due to insufficient stock whenever the tracked inventory is less than the ordered quantity.
- After a failed attempt to mark the order as paid due to insufficient stock, the order's payment state must remain ""New"".","@managing_orders
Feature: Being unable to finalize payment for an order with insufficient stock

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a product ""PHP T-Shirt"" priced at ""$12.00""
        And the product ""PHP T-Shirt"" is not tracked by inventory
        And the customer added product ""PHP T-Shirt"" to the cart
        And the customer placed an order
        And the product ""PHP T-Shirt"" is tracked by inventory with 0 available units
        And I am logged in as an administrator

    @api @ui
    Scenario: Being unable to mark an order as paid when the tracked stock is insufficient
        Given the order contains 1 unit of product ""PHP T-Shirt""
        When I try to mark the order as paid
        Then I should be informed that the payment could not be finalized due to insufficient stock
        And the payment state of the order should be ""New"""
20,"As a store administrator,
I want to browse and view the list of product association types configured in the store,
So that I can review and manage the existing associations available for products.

Acceptance Criteria:
- Given the store has multiple product association types (e.g., ""Cross sell"" and ""Up sell"") already created, the administrator can access a list view of all product association types.
- The list should display the correct total count of product association types matching the number configured in the store.
- Each product association type in the list should be identifiable by its name (e.g., ""Cross sell"" should appear in the list).","@managing_product_association_types
Feature: Browsing product association types

    Background:
        Given the store has product association type ""Cross sell""
        And the store has product association type ""Up sell""
        And I am logged in as an administrator

    @ui
    Scenario: Browsing the list of product association types
        When I browse product association types
        Then I should see 2 product association types in the list
        And I should see product association type ""Cross sell""
        And I should see product association type ""Up sell"""
21,"As a Store Administrator,
I want to create a new text-type product attribute by specifying its code and name,
So that I can define custom textual properties for products in the store.

Acceptance Criteria:
- The administrator must be able to create a text attribute by providing a unique code and a name in a selected language.
- Upon successful creation, the administrator should receive a confirmation notification and the new text attribute should be visible in the store.
- While creating a text attribute, the type field must be disabled to prevent changing the attribute type during this process.","@managing_product_attributes
Feature: Creating a new text product attribute

    Background:
        Given I am logged in as an administrator

    @ui
    Scenario: Creating a new text product attribute
        When I want to create a new text product attribute
        And I specify its code as ""material""
        And I specify its name as ""Material""
        And I choose ""English (United States)"" as the name language
        And I save my changes
        Then I should be notified that the product attribute has been created
        And the product attribute ""material"" should appear in the store

    @ui
    Scenario: Preventing the administrator from changing the attribute type while creating a text product attribute
        When I want to create a new text product attribute
        Then the type field should be disabled"
