id,title,authors,year,venue,search_string,v1_decision,v1_reason
11,System Test Case Design from Requirements Specifications: Insights and Challenges of Using ChatGPT,S. N. Bhatia|Tarushi Gandhi|Dhruv Kumar|Pankaj Jalote,2024,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
12,AI-Driven Prompt Templates for User Acceptance Test Case Generation,Wantana Sisomboon|Jakkrit Kaewyotha|Prathan Dansakulcharoenkit|Wararat Songpan,2024,Communications in computer and information science,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
13,Large Language Models (LLMs) for Requirements Engineering (RE): A Systematic Literature Review,Mohammad Amin Zadenoori|Jacek Dąbrowski|Waad Alhoshan|Liping Zhao|Alessio Ferrari,2025,ArXiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",EXCLUDE,IC5
14,Enhancing Requirements via Structured Formalization and Process‐State Consistency Validation: An LLM‐Assisted Test‐Driven Framework,Haibo Li|Lixiao Zheng,2025,IET Software,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
15,A Blueprint for AI-Driven Software Quality: Integrating LLMs with Established Standards,Avinash Patil,2025,ArXiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
16,Baseline Evaluation of LLM-Facilitated UI Test-Case Generation from Gherkin Specifications,Alexander Poth|Olsi Rrjolli|Huiyu Wang|Klaus Schmid,2025,Communications in computer and information science,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
17,Perancangan Sistem Informasi Chatbot Retrieval Augmented Generation Berbasis Website Pada PT. Revolusi Cita Edukasi,F. Lia Dwi Cahyanti|Rizky Dharma Andika Raya,2025,Indonesian Journal Computer Science,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
18,Generating Project-Specific Test Cases with Requirement Validation Intention,"Ben Qi|Yunfeng Lin|Weng, Xinyi|Yuyang Huang|Chenyan Liu|Hailong Sun|Zhi-Ping Jin|Jin Song Dong",2025,ArXiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
19,From What to How: Bridging User Requirements with Software Development Using Large Language Models,Xiao He|Ru Chen|Jialun Cao,2026,Open MIND,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
20,Automated Software Test Case Generation Using Directional Partially Weighted Ensemble Large Language Models With Retrieval-Augmented Generation (RAG),Wantana Sisomboon|Jakkrit Kaewyotha|Wararat Songpan,2026,IEEE Access,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
21,Large Language Model (LLM)-Based Automation for Software Test Script Generation,Srikanth Kavuri,2022,Computer Fraud & Security,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
22,How I Used GPT-4 to Automatically Generate Test Cases from Functional Requirements in Healthcare Apps (Preprint),Prashanth Reddy Poola,2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
23,Code Refactoring with ChatGPT: Analysis Based on Real and Synthetic Extract Method Opportunities,Ally S. Nyamawe|Estomii Edward,2025,Lecture notes in computer science,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
24,Retry and Refine: A Multi-agent Framework for LLM Based Reliable Unit Test Generation,Tanmay Ghosh|Noorhan Abbas,2025,Lecture notes in computer science,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
25,Explicating Tacit Regulatory Knowledge from LLMs to Auto-Formalize Requirements for Compliance Test Case Generation,Zhiyi Xue|Xiaohong Chen|Min Zhang,2026,ArXiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
26,Exploration of Code Analysis Driven Unit Test Generation Method Based on Llm,Na Wang|Xiaorong Zhang|Hongbing Zhu|Xiqianlong Yuan|Lijuan Peng,2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
27,Reducing Hallucinations in LLM-Generated Code via Semantic Triangulation,"Dai, Yihan|Sijie Liang|Haotian Xu|Peichu Xie|Sergey Mechtaev",2025,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
28,LLMCFG-TGen: Using LLM-Generated Control Flow Graphs to Automatically Create Test Cases from Use Cases,"Yang, Zhenzhen|Cui, Chenhui|Li, Tao|Huang, Rubing|Niu, Nan|Towey, Dave|Guo, Shikai",2025,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
29,Bridging generative AI and formal methods for high-assurance test generation in safety-critical embedded systems,Junjie Zheng|Jiankai Lu,2026,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
30,Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments,Almeyda Alania Fredy Antonio|Barrientos Padilla Alfredo|Siancas Garay Ronald Gustavo,2025,International Journal of Advanced Computer Science and Applications,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
31,Large Language Models In High-Level Software Testing : A Literature Review,Toni Grönberg,2026,Trepo - Institutional Repository of Tampere University,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
32,The Role of Machine Learning and Large Language Models in Software Testing and Validation,Yassine Hachaïchi|Mohamed Amine Ouerghi,2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
33,"Large Language Models in Production: Evaluation Frameworks, Safety Engineering, and Multi-Objective Deployment Strategies",Chandra Chinthapanti,2026,International Journal for Research in Applied Science and Engineering Technology,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
34,Large Language Model-Enhanced Test Case Generation*,Qi Zhang|Rui Kang|Yitian Liu|Xiayu Cao,2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
35,Investigating Effectiveness of Large Language Models in Automated Software Engineering,"Shin, Ji-ho",2025,York University Digital Library (York University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
36,APITestGenie: Generating Web API Tests from Requirements and API Specifications with LLMs,André F. G. Pereira|Bruno Lima|João Pascoal Faria,2026,ArXiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
37,An empirical study of LoRA-based fine-tuning of large language models for automated test case generation,Milad Moradi|Ke Yan|David B. Colwell|Rhona Asgari,2026,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
38,IMPLEMENTASI FRAMEWORK REKAYASA KEBUTUHAN BERBASIS HUMAN-CENTERED AI PADA APLIKASI PENDAMPING EMOSI UNTUK KESEHATAN MENTAL,"Riri Annisatunnaza, -|Mochamad Iqbal Ardimansyah, -|Asyifa Imanda Septiana, -",2025,Repository at Universitas Pendidikan Indonesia (Universitas Pendidikan Indonesia),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
39,Exploring the Use of LLMs to Reduce the Discarding of MBT Test Cases,Carlos D. Q. Lima|Everton L. G. Alves|Wilkerson L. Andrade|Felipe Torres,2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
40,RepoZero: Can LLMs Generate a Code Repository from Scratch?,"Zhaoxi Zhang|Yiming Xu|Weikang Li|Jiahui Liang|Yunfang Wu|Qian, Liwei|Pei, Xin|Huang, Jizhou|Sun, Run|Wu, Yunfang",2026,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
41,AI Test Design and Script Generator: Enhancing Software Testing through AI-driven Automation,Jagan Mohan Rao Doddapaneni,2025,International Journal of Multidisciplinary Research and Growth Evaluation,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
42,Beyond Heuristics? Rethinking Targeted Unit Test Generation in the Era of LLM Agents,Anonymous Anonymous,2026,Zenodo (CERN European Organization for Nuclear Research),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
43,Opportunities and Risks of Generative AI in Model-Based Engineering of Railway Systems,Francesco Flammini|Arianna Nocente|Cinzia Bernardeschi|Valeria Vittorini,2026,Lecture notes in computer science,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
44,AI-Powered Test Automation for Financial Cloud Applications Using LLMs and Serverless Computing,Saili Krishna Maliye -,2024,International Journal For Multidisciplinary Research,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
45,RAFT,1774531208,2026,Figshare,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
46,Can AI Build Systems? an Exploratory Study on Generating Software Architecture With LLMS,Marios Fokaefs|Hashim Khan|Borna Ahmadzadeh,2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
47,Call-Chain-Aware LLM-Based Test Generation for Java Projects,Guancheng Wang|Qinghua Xu|Lionel C. Briand|Zhaoqiang Guo|Kui Liu,2026,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
48,LLM driven Test optimization for Insurance Management Policy Engines,Chandra Shekhar Pareek,2026,Research Square,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
49,Hallucination to Consensus: Multi-Agent LLMs for End-to-End JUnit Test Generation,Qinghua Xu|Guancheng Wang|Lionel Briand|Kui Liu,2026,ACM Transactions on Software Engineering and Methodology,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
50,MACO: Multi-Agent Collaborative Optimization for Unit Test Case Generation,Tao Xie|Xiguang Zhang|Zhili Zhang|Yunzhi Xue|Lingzhong Meng|Yukuan Yang,2025,SSRN Electronic Journal,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
51,Establishing Meta-Requirements and Design Principles forLLM-based Unit Test Generation,Ram Prasad Gurung|Katja Karhu|Sreman Chandio|Dominik Siemon,2025,Journal of the Association for Information Systems,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
52,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,Pedro Luís Fonseca|Bruno Lima|João Pascoal Faria,2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
53,RANCANG BANGUN EKSTENSI VISUAL STUDIO CODE (VSCODE) TERINTEGRASI AI UNTUK GENERASI UNIT TEST,NIM.: 21106050091 Fansuri Fadel Fitrah Prakon,2025,Digital Library UIN Sunan Kalijaga (Sunan Kalijaga State Islamic University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
54,Intelligent Code Analysis and Automated Testing Technologies for Power Grid Software Systems,Jingyi Zhao,2026,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
55,ПУТИ И ПЕРСПЕКТИВЫ ИСПОЛЬЗОВАНИЯ ИНТЕЛЛЕКТУАЛЬНЬГХ АГЕНТОВ В КОСМОНАВТИКЕ,А. ТЮГАШЕВ А|Ю. КОШЕЛЕВ А|С. ТКАЧЕНКО И,2026,Авиакосмическое приборостроение.,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
56,Designing FSMs Specifications from Requirements with GPT 4.0,Omer Nguena Timo|Paul-Alexis Rodriguez|Florent Avellaneda,2026,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
57,OrionTest: An Agentic AI Driven Automation*,Aaditya Goel,2026,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
58,Uncovering Business Logic Bugs via Semantics-Driven Unit Test Generation,Chen Yang|Junjie Chen,2026,ArXiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
59,From Law to Gherkin: A Human-Centred Quasi-Experiment on the Quality of LLM-Generated Behavioural Specifications from Food-Safety Regulations,Shabnam Hassani|Mehrdad Sabetzadeh|Daniel Amyot,2025,SSRN Electronic Journal,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
60,Automated Functional Testing for Malleable Mobile Application Driven from User Intent,Yuying Wang|Kaifeng Huang|Hao Deng|Zhiyuan Sun|Jinxuan Zhou|Shengjie Zhao,2026,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
61,"Enhancing efficiency, correctness, and social fairness in automated code generation","Huang, Dong|黄东",2025,The HKU Scholars Hub (University of Hong Kong),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
62,FSTG: Few-Shot Test Case Generation from Use Case Specifications Using Large Language Models,Thanh-Binh Trinh|Thi-Van Nguyen|Ngoc-Minh Le|Nguyễn Việt Hà,2026,Communications in computer and information science,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
63,Testing the Functional Correctness of Malleable Mobile Applications Driven from Natural Language Requirements,Anonymous,2026,Zenodo (CERN European Organization for Nuclear Research),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
64,Reinforcement Learning Integrated Agentic RAG for Software Test Cases Authoring,"Hariharan, Mohanakrishnan",2025,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
65,RESTestBench: A Benchmark for Evaluating the Effectiveness of LLM-Generated REST API Test Cases from NL Requirements,Leon Kogler|Stefan Hangler|Maximilian Ehrhart|Benedikt Dornauer|Roland Wuersching|Peter Schrammel,2026,ArXiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
66,A Study on the Quality of LLM-Generated Authorization Tests for Microservices,Anonymous,2026,Zenodo (CERN European Organization for Nuclear Research),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
67,"Architecting Agentic AI for Modern Software Testing: Capabilities, Foundations, and a Proposed Scalable Multi-Agent System for Automated Test Generation",Twinkle Joshi,2025,Journal of Information Systems Engineering & Management,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
68,Req2Test: An Approach for the Automatic Generation of Unit Tests from User Stories Using LLMs,"França, Mattheus|Benitti, Fabiane",2025,Zenodo (CERN European Organization for Nuclear Research),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
69,An LLM-based Readability Measurement for Unit Tests' Context-aware Inputs,Zhichao Zhou|Yutian Tang|Yun Lin|Jingzhu He,2024,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
70,Continuous Evaluation &amp; Observability for Enterprise AI Agents: A Unified Framework for LLM and ML Systems,Koushik Anitha Raja,2026,International Journal of Computational and Experimental Science and Engineering,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
71,Continuous Evaluation & Observability for Enterprise AI Agents: A Unified Framework for LLM and ML Systems,Koushik Anitha Raja,2026,Zenodo (CERN European Organization for Nuclear Research),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
72,CATE: Change-Aware Obsolete Test Co-evolution via Semantic Clustering and Impact Propagation,Anonymous Anonymous,2026,Zenodo (CERN European Organization for Nuclear Research),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
73,"Generative Artificial Intelligence in Real-World Applications: A Survey of Architectures, Use Cases, and Implementation Challenges",Rubens Rudio,2025,Zenodo (CERN European Organization for Nuclear Research),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
74,Prose2Policy (P2P): A Practical LLM Pipeline for Translating Natural-Language Access Policies into Executable Rego,Vatsal Gupta|Darshan Sreenivasamurthy,2026,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
75,D3.10 G2 of the AIDAVA prototype,Daniel Dallos|Béla Bihari|Isabelle de Zegher|Remzi Çelebi|Ensar Emir Erol,2025,Zenodo (CERN European Organization for Nuclear Research),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
76,Generalizing Test Cases for Comprehensive Test Scenario Coverage,Binhang Qi|Yun Lin|Xinyi Weng|Chenyan Liu|Hailong Sun|Gordon Fraser|Jin Song Dong,2026,ArXiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
77,The Use of GenAI in Graph Based Unit Testing,Abubakr S. Masood|Mir H. Ali|Mohammed W. Amair|Ziad A. Al-Sharif|Safwan Omari,2025,Advances in intelligent systems and computing,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
78,Test Automation for Industrial Programmable Logic Controller Software: From Requirements to Executable Tests,Mikael Ebrahimi Salari,2026,DiVA (Mälardalen University College),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
79,"Replication Package of ""Automated Containerization and Verification of Heterogeneous Open-Source Software""",Anonymous|Anonymous|Anonymous|Anonymous|Anonymous,2026,Zenodo (CERN European Organization for Nuclear Research),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
80,Multi-Agent Specification-based Metamorphic Testing of FMU-Based Simulations,Ashir Kulshreshtha|Abdullah Mughees|Gaadha Sudheerbabu|Tanwir Ahmad|Kristian Klemets|Dragoş Truşcan|Mikael Månngård,2026,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
81,Economic Evaluation of Artificial Intelligence-Driven Software Testing in Modern IT Enterprises,Claura Reid|Seth Anthony,2026,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
82,TRACE-TEST: An Evidence-Linked Software Quality Assurance Framework for AI-Augmented Testing in Regulated Platforms,Rajeew Vishvakarma,2026,Zenodo (CERN European Organization for Nuclear Research),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
83,ТЕКСТОВИЙ СТАНДАРТ ОПИСУ API ЯК ІНСТРУМЕНТ ПІДВИЩЕННЯ ЯКОСТІ ТЕСТУВАННЯ ПРОГРАМНОГО ЗАБЕЗПЕЧЕННЯ,М.Л. Москаленко,2026,System technologies,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
84,Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation,Shanthi Karpurapu|Sravanthy Myneni|Unnati Nettur|Likhit Sagar Gajja|Dave Burke|Tom Stiehm|Jeffery Payne,2024,IEEE Access,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
