id,title,author,year,venue,search string
NKIX42P6,Adoption of LLMs in Requirements Engineering: What Practitioners Are Worried About?,"Santos, Reine; Steinmacher, Igor; Conte, Tayana; Oran, Ana Carolina; Gadelha, Bruno",2025,Anais do XXIV Simpósio Brasileiro de Qualidade de Software (SBQS 2025),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
BFRGE6X5,Agile MERODE: a model-driven software engineering method for user-centric and value-based development,"Snoeck, Monique; Wautelet, Yves",2022,Software and Systems Modeling,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
YVZPSBV9,Enhancing Automated User Story Quality Assessment with Large Language Models,"Herwanto, Guntur Budi; Muhamad, Wicaksono Leksono; Maaroja, Waffiq",2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
H6BW59UX,Automated User Story Driven Approach for Web-Based Functional Testing,"Masud, M.; Iqbal, Muhammad Zohaib Z.; Khan, Muhammad Usman Ghani; Azam, F.",2017,"World Academy of Science, Engineering and Technology, International Journal of Computer and Information Engineering","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
7SPGY23J,Notice of Violation of IEEE Publication Principles: Mobile Application Development: Automated Test Input Generation Via Model Inference based on User Story and Acceptance Criteria,"Iqbal, Hena",2019,2019 International Conference on Digitization (ICD),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
6GT6ZLV4,BHive: Behavior-Driven Development Meets B-Method,"Carter, John Douglas; Gardner, William Bennett",2018,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
PKMIAC86,State of the Art in Automated Agile User Story Prioritization - Methods,"Challenges, and Research Gaps,Elmasry, Mariam Mohamed; Zaid, Lamia Abo; Hassan, Hesham Ahmed",2025,2025 Twelfth International Conference on Intelligent Computing and Information Systems (ICICIS),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
JTUJAHUG,Automatic Extraction of User Story Elements: NLP-Based Approach,"Mulyana, Sri; Aszani",2025,2025 International Conference on Advanced Machine Learning and Data Science (AMLDS),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
4WQFGIGK,Extending the Essence framework to adopt user story and microservice practices for automated real estate pre-sales customer relationship management,"Ray, Parthasarathi; Pal, Pinakpani",2026,Design+,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
JR3HNZ26,User Story Automation in Software Engineering: Insights from the Literature,"Domínguez, Francisco Antonio Mejía; Quintana, Manuel A.; Cinco, Ramón René Palacio; Borrego, Gilberto; González-López, Samuel",2024,2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
7UYPHKWT,An Attention Based LSTM Model: Automated Requirement Classification from User Story,"Tasnim, Arpa; Akhter, Nazneen; Khanam, Mohotina; Rimi, Nusrat Jahan",2023,2023 International Conference on Information and Communication Technology for Sustainable Development (ICICT4SD),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
C29DD6XN,A Fine Tuned Ensemble Approach to Classify Requirement from User Story,"Tasnim, Arpa; Akhter, Nazneen; Ali, K M Akkas",2023,2023 26th International Conference on Computer and Information Technology (ICCIT),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
M77N22SG,Behaviour Driven Development Scenario Generation with Large Language Models,"Rathnayake, Amila; Shahin, Mojtaba; Abaei, Golnoush",2026,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
N5RU5EVX,From Bugs to Benefits: Improving User Stories by Leveraging Crowd Knowledge with CrUISE-AC,"Schwedt, Stefan; Ströder, Thomas",2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
6JC7F3QM,SelfBehave,"Generating a Synthetic Behaviour-Driven Development Dataset using SELF-INSTRUCT,Galloy, Manon; Balfroid, Martin; Vanderose, Benoît; Devroey, Xavier",2025,"2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
59IUAYKJ,Agentforce Unleashed: How AI Agents Will Automate 70% of Salesforce Development Tasks,"Patel, Alpesh Kanubhai",2025,"International Journal of AI, BigData, Computational and Management Studies","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
JZA6P2PP,AutoScrum: Automating Project Planning Using Large Language Models,"Schroder, M.",2023,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
8L99F3VV,A Requirement Quality Assessment Method Based on User Stories,"Xu, Xiangqian; Dou, Yajie; Qian, Liwei; Zhang, Zhiwei; Ma, Yufeng; Tan, Yuejin",2023,Electronics,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
CHPULKH9,Extracting Queryable Knowledge Graphs from User Stories: An Empirical Evaluation:,"Ladeinde, Ayodeji; Arora, Chetan; Khalajzadeh, Hourieh; Kanij, Tanjila; Grundy, John",2023,Proceedings of the 18th International Conference on Evaluation of Novel Approaches to Software Engineering,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
WDP3KCFF,Crowd-based requirements elicitation via pull feedback: method and case studies,"Wouters, Jelle; Menkveld, Abel; Brinkkemper, Sjaak; Dalpiaz, Fabiano",2022,Requirements Engineering,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
X4BRE4ZI,From US to Domain Models: Recommending Relationships between Entities,"Bragilovski, Maxim; Dalpiaz, F.; Sturm, Arnon",2023,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
UL95HITR,Predictive Analytics for Proactive Quality Assurance in Guidewire Cloud Implementations,"Gollapudi, Pavan Kumar",2022,"International Journal of Scientific Research in Computer Science, Engineering and Information Technology","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
K3E3PQPF,Evaluating user story quality with LLMs: a comparative study,"Sharma, Amol; Kumar Tripathi, Anil",2025,Journal of Intelligent Information Systems,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
WP4H8Z4K,Analyzing User Story Quality and Sprint Velocity in Agile Projects Using NLP and Topic Modeling,"Kumar, Bhawnesh; Dobhal, Dinesh C.; Dimri, Sushil Chandra; Rajput, Ishwari Singh; Jahan, Afsar",2025,2025 2nd International Conference on Advanced Computing and Emerging Technologies (ACET),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
SI9WVHUX,Automated Test Case Generation Using Machine Learning And Natural Language Processing,"R, Arya Devi M; P, Abdul Jabbar",2025,2025 International Conference on Intelligent and Secure Engineering Solutions (CISES),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
7A94A58U,Deploying Large Language Models (LLMs) for Automated Test Case Generation and QA Evaluation,"Changalreddy, Vybhav Reddy Kammireddy; Prasad, Prof. (Dr) Msr",2025,Journal of Quantum Science and Technology,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
LIX6RXIX,Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments,"Antonio, Almeyda Alania Fredy; Alfredo, Barrientos Padilla; Gustavo, Siancas Garay Ronald",2025,International Journal of Advanced Computer Science and Applications,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
QPAE2KK8,A Deep Learning-Based Method for Identifying User Story Semantic Conflicts,"Wang, Tianci; Li, Chunwang; Wang, Chunhui; Li, Tong; Zhai, Ye",2023,"2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
JUVYZRIF,Leveraging Pre-Trained Large Language Models (LLMs) for On-Premises Comprehensive Automated Test Case Generation: An Empirical Study,"Yin, Hang; Mohammed, Hamza; Boyapati, Sai",2024,2024 9th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
HR53P6X2,Pattern-Based Automation of User Stories and Gherkin Scenarios from BPMN Models for Agile Requirement,"Mateus, Daniel; Da Silveira, Denis Silva; Araujo, João",2025,Applied Sciences,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
ZVATXCBB,Ontology Generation using Large Language Models,"Lippolis, Anna Sofia; Saeedizade, Mohammad Javad; Keskisärkkä, Robin; Zuppiroli, Sara; Ceriani, Miguel; Gangemi, Aldo; Blomqvist, Eva; Nuzzolese, Andrea Giovanni",2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
58XDP7IY,ReqBrain: Task-Specific Instruction Tuning of LLMs for AI-Assisted Requirements Generation,"Habib, Mohammad Kasra; Graziotin, Daniel; Wagner, Stefan",2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
3YMAAT9V,A Study on the Improvement of Code Generation Quality Using Large Language Models Leveraging Product Documentation,"Morimoto, Takuro; Haraguchi, Harumi",2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
PD4NWJDY,Towards Class Diagram Generation from User Stories Using LLMs,"Ojha, Monalisha; Gupta, Shilpi; Sharma, Rahul",2025,2025 International Conference on Next Generation Information System Engineering (NGISE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
254VZUUD,Test Case Generation for Context-Aware Large Language Models Based on Deep Semantic Understanding,"Gao, Changsheng; Yin, Jiawei; Li, Jianlong; Ge, Songzhi; Kong, Xiaoxuan",2025,"2025 4th International Conference on Artificial Intelligence, Human-Computer Interaction and Robotics (AIHCIR)","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
GUYBY7PJ,From Test Case Design to Test Data Generation: How AI is Transforming End-to-End Quality Assurance in Agile and DevOps Environments,"Sheela, Dubey",2026,IgMin Research,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
G9MDPBJP,AI powered automatic test case creation using Chat GPT and Streamlit interface,Sreelatha Bijili; Nandana Ande; Vinesh Doddi; Sai Aryan Meesala; Thilak Chinta; Nithin Soma,2025,World Journal of Advanced Engineering Technology and Sciences,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
II9WF2BR,AI and Machine Learning Powered Impacted Test Case Generation From Multimodal User Stories Using Retrieval Augmented Generation,"Durai, S; Komala, Saddapalli; Dillep, G",2026,"2026 5th International Conference on Communication, Computing and Electronics Systems (ICCCES)","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
K2L2L7S4,AI-Generated User Stories: Are They Good Enough?,"Santos, Reine; Steinmacher, Igor; Conte, Tayana; Oran, Ana Carolina; Gadelha, Bruno",2025,Anais do XXXIX Simpósio Brasileiro de Engenharia de Software (SBES 2025),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
DVGZEIM3,Improving Software Testing with RAG-Based LLMs and Supporting Indian Regional Languages,"M, Carol Joanna Bright; P, Kripaa; S, Karishma; I, Freida Judith; Rahman, Usama Abdur",2026,2026 International Conference on Innovative Trends in Information Technology (ICITIIT),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
JEKDW4EC,Evaluating Generative Language Models with Prompt Engineering for Categorizing User Stories to its Sector Domains,"Alawaji, Batool; Hakami, Mona; Alshemaimri, Bader",2024,2024 IEEE 9th International Conference for Convergence in Technology (I2CT),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
CVZZF2WX,Detecting privacy requirements from User Stories with NLP transfer learning models,"Casillo, Francesco; Deufemia, Vincenzo; Gravino, Carmine",2022,Information and Software Technology,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
2PN6MT9E,Automating test oracles from restricted natural language agile requirements,"Malik, Maryam Imtiaz; Sindhu, Muddassar Azam; Khattak, Akmal Saeed; Abbasi, Rabeeh Ayaz; Saleem, Khalid",2021,Expert Systems,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
