id,title,author,year,venue,search string,v1_decision,v1_reason,v2_decision,v2_reason
ZVW3H2WD,A Comparative Study of LLMs for Gherkin Generation,"Fernandes, Hiago; Perkusich, Mirko; Albuquerque, Danyllo; Silva, Izabella; Santos, Danilo F. S.; Gorgônio, Kyller; Perkusich, Angelo",2025,Anais do XXXIX Simpósio Brasileiro de Engenharia de Software (SBES 2025),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,INCLUDE,
XV9ISZR3,AutomTest 3.0: An automated test-case generation tool from User Story processing powered with LLMs,"Santos, Joanderson Gonçalves; Maciel, Rita Suzana Pitangueira",2024,Anais do XXXVIII Simpósio Brasileiro de Engenharia de Software (SBES 2024),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,INCLUDE,
EHJGDR5A,Modeling contextual goals and detecting context conflicts from BDD-based user stories,"Zheng, Liwei; Wang, Yan; Cui, Zhanqi",2024,International Journal of Computers and Applications,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
2WS8A2F9,Comparative Analysis of Large Language Model Tools for Automated Test Data Generation from BDD,"Mendoza, Isela; Silva Filho, Fernando; Medeiros, Gustavo; Paes, Aline; Neves, Vânia O.",2024,Anais do XXXVIII Simpósio Brasileiro de Engenharia de Software (SBES 2024),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,INCLUDE,
6XFEPPX7,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,"Patel, Sagar B.; Nigam, Sajal; Mahale, Shrikanth",2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
RX56ASLS,The Role of Machine Learning and Large Language Models in Software Testing and Validation,"Hachaïchi, Yassine; Ouerghi, Mohamed Amine",2025,2025 IEEE 22nd International Conference on Sciences and Techniques of Automatic Control and Computer Engineering (STA),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
JLYSWCF3,Feature-Trace : an approach to generate operational profile and to support regression testing from BDD features,"Barbosa, Rafael",2020,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,INCLUDE,
PAR9SHDM,Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,"Independent Researcher & IEEE member Durham, North Carolina, USA; Tiwari, Sujeet Kumar",2025,Frontiers in Emerging Computer Science and Information Technology,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,INCLUDE,
MNLJSLDI,Towards a Gherkin-Based Requirement Verification Approach in MBSE,"Hoffmann, David; Ammana, Someshwar Reddy; Dsouza, Ashley Jason; Gudder, Ranjitkumar; Lüder, Arndt",2025,2025 IEEE International Symposium on Systems Engineering (ISSE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
KQ2B7WMP,Semi-Automated Behavior-Driven Testing for the Web Front-Ends,"Ma, Shang-Pin; Chen, Yu-An; Guo, Yi-Jie; Su, Yu-Sheng",2023,2023 IEEE International Conference on e-Business Engineering (ICEBE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
D8YV7AT2,The Effectiveness of Conceptual Models Auto-Generated from a Set of User Stories Written as BDD Scenarios: A Proposed Study,"Gupta, Abhimanyu; Poels, G.",2022,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,INCLUDE,
8PI3VJTY,A Two-Phase NLP-Driven Deep Learning Framework for Automated Software Requirements Classification and User Story Generation in Agile Development,"Hany, Khaled. M.; Salama, Gouda I.; Salem, Ahmed",2025,2025 International Conference on Machine Intelligence and Smart Innovation (ICMISI),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
LYRYBEYI,A Multi-agent LLM System for Automated Requirements Analysis: A Study on User Story Generation and Prioritization,"Sami, Malik Abdul; Zhang, Zheying; Waseem, Muhammad; Kemell, Kai-Kristian; Rasheed, Zeeshan; Herda, Tomas; Hasan, Md. Toufique; Rasku, Jussi; Abrahamsson, Pekka",2026,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
MG2NPTF9,Automated User Story Generation with Test Case Specification Using Large Language Model,"Rahman, Tajmilur; Zhu, Yuecai",2024,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,INCLUDE,
5WJNSATJ,Take Loads Off Your Developers: Automated User Story Generation using Large Language Model,"Rahman, Tajmilur; Zhu, Yuecai; Maha, Lamyea; Roy, Chanchal; Roy, Banani; Schneider, Kevin",2024,2024 IEEE International Conference on Software Maintenance and Evolution (ICSME),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
QFZQGMWD,Agile User Story Builder: Transform Real-Time User Requirement Conversations into Well-Structured Agile User Stories,"Sathsarani, Sanduni; Sandun, Yasitha; Rusith, Ravindu; Himaranga, Shakila; Kumari, Suriyaa; Supunya Swarnakantha, N.H.P Ravi",2025,2025 7th International Conference on Advancements in Computing (ICAC),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
4AMYW93Q,From Real-Time Conversation to User Story: Leveraging Agile Requirements through LLM,"Pereira, Ramon Martinez; Malucelli, Andreia; Reinehr, Sheila",2025,Anais do XXXIX Simpósio Brasileiro de Engenharia de Software (SBES 2025),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC4: abstract không liên quan trực tiếp Gherkin/BDD test generation
4HAB92PC,SimAC: simulating agile collaboration to generate acceptance criteria in user story elaboration,"Li, Yishu; Keung, Jacky; Yang, Zhen; Ma, Xiaoxue; Zhang, Jingyu; Liu, Shuo",2024,Automated Software Engineering,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
AZ9ANAC9,Exploring LLMs for User Story Extraction from Mockups,"Firmenich, Diego; Antonelli, Leandro; Pazos, Bruno; Lozada, Fabricio; Morales, Leonardo",2025,Anais do Workshop em Engenharia de Requisitos,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC4: abstract không liên quan trực tiếp Gherkin/BDD test generation
G5LAE7I6,Automatic generation of business process models from user stories,"Nasiri, Samia; Adadi, Amina; Lahmer, Mohammed",2023,International Journal of Electrical and Computer Engineering (IJECE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC4: abstract không liên quan trực tiếp Gherkin/BDD test generation
RA4KJY6N,Extracting Knowledge Graphs from User Stories using LangChain,"da Silva, Thayná Camargo",2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC4: abstract không liên quan trực tiếp Gherkin/BDD test generation
NKIX42P6,Adoption of LLMs in Requirements Engineering: What Practitioners Are Worried About?,"Santos, Reine; Steinmacher, Igor; Conte, Tayana; Oran, Ana Carolina; Gadelha, Bruno",2025,Anais do XXIV Simpósio Brasileiro de Qualidade de Software (SBQS 2025),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC4: abstract không liên quan trực tiếp Gherkin/BDD test generation
YVZPSBV9,Enhancing Automated User Story Quality Assessment with Large Language Models,"Herwanto, Guntur Budi; Muhamad, Wicaksono Leksono; Maaroja, Waffiq",2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
7SPGY23J,Notice of Violation of IEEE Publication Principles: Mobile Application Development: Automated Test Input Generation Via Model Inference based on User Story and Acceptance Criteria,"Iqbal, Hena",2019,2019 International Conference on Digitization (ICD),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
6GT6ZLV4,BHive: Behavior-Driven Development Meets B-Method,"Carter, John Douglas; Gardner, William Bennett",2018,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
PKMIAC86,State of the Art in Automated Agile User Story Prioritization - Methods,"Challenges, and Research Gaps,Elmasry, Mariam Mohamed; Zaid, Lamia Abo; Hassan, Hesham Ahmed",2025,2025 Twelfth International Conference on Intelligent Computing and Information Systems (ICICIS),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
JTUJAHUG,Automatic Extraction of User Story Elements: NLP-Based Approach,"Mulyana, Sri; Aszani",2025,2025 International Conference on Advanced Machine Learning and Data Science (AMLDS),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
4WQFGIGK,Extending the Essence framework to adopt user story and microservice practices for automated real estate pre-sales customer relationship management,"Ray, Parthasarathi; Pal, Pinakpani",2026,Design+,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
JR3HNZ26,User Story Automation in Software Engineering: Insights from the Literature,"Domínguez, Francisco Antonio Mejía; Quintana, Manuel A.; Cinco, Ramón René Palacio; Borrego, Gilberto; González-López, Samuel",2024,2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
7UYPHKWT,An Attention Based LSTM Model: Automated Requirement Classification from User Story,"Tasnim, Arpa; Akhter, Nazneen; Khanam, Mohotina; Rimi, Nusrat Jahan",2023,2023 International Conference on Information and Communication Technology for Sustainable Development (ICICT4SD),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
C29DD6XN,A Fine Tuned Ensemble Approach to Classify Requirement from User Story,"Tasnim, Arpa; Akhter, Nazneen; Ali, K M Akkas",2023,2023 26th International Conference on Computer and Information Technology (ICCIT),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
M77N22SG,Behaviour Driven Development Scenario Generation with Large Language Models,"Rathnayake, Amila; Shahin, Mojtaba; Abaei, Golnoush",2026,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,INCLUDE,
N5RU5EVX,From Bugs to Benefits: Improving User Stories by Leveraging Crowd Knowledge with CrUISE-AC,"Schwedt, Stefan; Ströder, Thomas",2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
JZA6P2PP,AutoScrum: Automating Project Planning Using Large Language Models,"Schroder, M.",2023,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC4: abstract không liên quan trực tiếp Gherkin/BDD test generation
8L99F3VV,A Requirement Quality Assessment Method Based on User Stories,"Xu, Xiangqian; Dou, Yajie; Qian, Liwei; Zhang, Zhiwei; Ma, Yufeng; Tan, Yuejin",2023,Electronics,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC4: abstract không liên quan trực tiếp Gherkin/BDD test generation
CHPULKH9,Extracting Queryable Knowledge Graphs from User Stories: An Empirical Evaluation:,"Ladeinde, Ayodeji; Arora, Chetan; Khalajzadeh, Hourieh; Kanij, Tanjila; Grundy, John",2023,Proceedings of the 18th International Conference on Evaluation of Novel Approaches to Software Engineering,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC4: abstract không liên quan trực tiếp Gherkin/BDD test generation
K3E3PQPF,Evaluating user story quality with LLMs: a comparative study,"Sharma, Amol; Kumar Tripathi, Anil",2025,Journal of Intelligent Information Systems,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
WP4H8Z4K,Analyzing User Story Quality and Sprint Velocity in Agile Projects Using NLP and Topic Modeling,"Kumar, Bhawnesh; Dobhal, Dinesh C.; Dimri, Sushil Chandra; Rajput, Ishwari Singh; Jahan, Afsar",2025,2025 2nd International Conference on Advanced Computing and Emerging Technologies (ACET),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
7A94A58U,Deploying Large Language Models (LLMs) for Automated Test Case Generation and QA Evaluation,"Changalreddy, Vybhav Reddy Kammireddy; Prasad, Prof. (Dr) Msr",2025,Journal of Quantum Science and Technology,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
LIX6RXIX,Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments,"Antonio, Almeyda Alania Fredy; Alfredo, Barrientos Padilla; Gustavo, Siancas Garay Ronald",2025,International Journal of Advanced Computer Science and Applications,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,INCLUDE,
QPAE2KK8,A Deep Learning-Based Method for Identifying User Story Semantic Conflicts,"Wang, Tianci; Li, Chunwang; Wang, Chunhui; Li, Tong; Zhai, Ye",2023,"2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
JUVYZRIF,Leveraging Pre-Trained Large Language Models (LLMs) for On-Premises Comprehensive Automated Test Case Generation: An Empirical Study,"Yin, Hang; Mohammed, Hamza; Boyapati, Sai",2024,2024 9th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
HR53P6X2,Pattern-Based Automation of User Stories and Gherkin Scenarios from BPMN Models for Agile Requirement,"Mateus, Daniel; Da Silveira, Denis Silva; Araujo, João",2025,Applied Sciences,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,INCLUDE,
ZVATXCBB,Ontology Generation using Large Language Models,"Lippolis, Anna Sofia; Saeedizade, Mohammad Javad; Keskisärkkä, Robin; Zuppiroli, Sara; Ceriani, Miguel; Gangemi, Aldo; Blomqvist, Eva; Nuzzolese, Andrea Giovanni",2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC4: abstract không liên quan trực tiếp Gherkin/BDD test generation
58XDP7IY,ReqBrain: Task-Specific Instruction Tuning of LLMs for AI-Assisted Requirements Generation,"Habib, Mohammad Kasra; Graziotin, Daniel; Wagner, Stefan",2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,INCLUDE,
3YMAAT9V,A Study on the Improvement of Code Generation Quality Using Large Language Models Leveraging Product Documentation,"Morimoto, Takuro; Haraguchi, Harumi",2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC4: abstract không liên quan trực tiếp Gherkin/BDD test generation
PD4NWJDY,Towards Class Diagram Generation from User Stories Using LLMs,"Ojha, Monalisha; Gupta, Shilpi; Sharma, Rahul",2025,2025 International Conference on Next Generation Information System Engineering (NGISE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
254VZUUD,Test Case Generation for Context-Aware Large Language Models Based on Deep Semantic Understanding,"Gao, Changsheng; Yin, Jiawei; Li, Jianlong; Ge, Songzhi; Kong, Xiaoxuan",2025,"2025 4th International Conference on Artificial Intelligence, Human-Computer Interaction and Robotics (AIHCIR)","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
G9MDPBJP,AI powered automatic test case creation using Chat GPT and Streamlit interface,Sreelatha Bijili; Nandana Ande; Vinesh Doddi; Sai Aryan Meesala; Thilak Chinta; Nithin Soma,2025,World Journal of Advanced Engineering Technology and Sciences,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,INCLUDE,
II9WF2BR,AI and Machine Learning Powered Impacted Test Case Generation From Multimodal User Stories Using Retrieval Augmented Generation,"Durai, S; Komala, Saddapalli; Dillep, G",2026,"2026 5th International Conference on Communication, Computing and Electronics Systems (ICCCES)","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
K2L2L7S4,AI-Generated User Stories: Are They Good Enough?,"Santos, Reine; Steinmacher, Igor; Conte, Tayana; Oran, Ana Carolina; Gadelha, Bruno",2025,Anais do XXXIX Simpósio Brasileiro de Engenharia de Software (SBES 2025),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC4: abstract không liên quan trực tiếp Gherkin/BDD test generation
DVGZEIM3,Improving Software Testing with RAG-Based LLMs and Supporting Indian Regional Languages,"M, Carol Joanna Bright; P, Kripaa; S, Karishma; I, Freida Judith; Rahman, Usama Abdur",2026,2026 International Conference on Innovative Trends in Information Technology (ICITIIT),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
JEKDW4EC,Evaluating Generative Language Models with Prompt Engineering for Categorizing User Stories to its Sector Domains,"Alawaji, Batool; Hakami, Mona; Alshemaimri, Bader",2024,2024 IEEE 9th International Conference for Convergence in Technology (I2CT),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")",UNSURE,Cần xem thêm: có user story/LLM nhưng không rõ test generation,EXCLUDE,EC2: không tìm được PDF
